epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,0.566385,0.618155,0.497270,0.00010000
2,0.387867,0.657134,0.536100,0.00010000
3,0.361492,0.669194,0.547676,0.00010000
4,0.333791,0.681934,0.565517,0.00010000
5,0.304494,0.619479,0.503967,0.00010000
6,0.290412,0.695713,0.584591,0.00010000
7,0.273652,0.674606,0.566324,0.00010000
8,0.256115,0.688431,0.580601,0.00010000
9,0.239129,0.686877,0.583698,0.00010000
10,0.219087,0.676098,0.568166,0.00010000
11,0.208064,0.685935,0.580995,0.00010000
12,0.197702,0.690831,0.586223,0.00005000
13,0.176808,0.691545,0.591100,0.00005000
14,0.166998,0.698814,0.597118,0.00005000
15,0.158055,0.694623,0.592378,0.00005000
16,0.153044,0.694661,0.594727,0.00005000
17,0.151904,0.693038,0.592557,0.00005000
18,0.147682,0.679813,0.577138,0.00005000
19,0.139082,0.677971,0.579245,0.00005000
20,0.134460,0.694140,0.598131,0.00002500
21,0.128389,0.686178,0.587143,0.00002500
22,0.122253,0.689775,0.593319,0.00002500
23,0.119989,0.697747,0.598925,0.00002500
24,0.118552,0.698837,0.601040,0.00002500
25,0.115904,0.697967,0.597168,0.00002500
26,0.113228,0.687871,0.590162,0.00001250
27,0.109542,0.688447,0.589892,0.00001250
28,0.107347,0.693170,0.594864,0.00001250
29,0.106211,0.696558,0.598605,0.00001250
30,0.103477,0.698647,0.601000,0.00001250
31,0.104631,0.702018,0.602953,0.00001250
32,0.103572,0.695395,0.598618,0.00001250
33,0.101781,0.698318,0.600586,0.00001250
34,0.101730,0.691479,0.593283,0.00001250
35,0.099872,0.696672,0.599014,0.00001250
36,0.099827,0.696664,0.599213,0.00001250
37,0.099055,0.694705,0.595908,0.00000625
38,0.097377,0.699842,0.602539,0.00000625
39,0.096109,0.695846,0.596535,0.00000625
40,0.095067,0.694589,0.595645,0.00000625
41,0.093920,0.696967,0.598863,0.00000625
42,0.093257,0.691873,0.594346,0.00000625
43,0.093191,0.697649,0.599302,0.00000313
44,0.092581,0.697547,0.598415,0.00000313
45,0.092717,0.693723,0.595567,0.00000313
46,0.091230,0.696506,0.597159,0.00000313
47,0.091289,0.695707,0.597795,0.00000313
48,0.090766,0.696097,0.598143,0.00000313
49,0.091377,0.694650,0.595993,0.00000156
50,0.090474,0.696803,0.597741,0.00000156
51,0.090683,0.698314,0.599644,0.00000156
52,0.089653,0.694288,0.596103,0.00000156
53,0.089992,0.697278,0.599012,0.00000156
54,0.090591,0.697723,0.598856,0.00000156
55,0.089723,0.696483,0.597664,0.00000078
56,0.089706,0.695701,0.597648,0.00000078
57,0.089560,0.694423,0.596069,0.00000078
58,0.089128,0.695287,0.596757,0.00000078
59,0.089069,0.693557,0.594896,0.00000078
60,0.089852,0.693194,0.595058,0.00000078
61,0.088830,0.696455,0.597718,0.00000039
62,0.089661,0.693722,0.595501,0.00000039
63,0.089256,0.694804,0.596467,0.00000039
64,0.089086,0.693910,0.595545,0.00000039
65,0.088772,0.694593,0.596171,0.00000039
66,0.089511,0.695361,0.596983,0.00000039
67,0.088674,0.692952,0.594827,0.00000020
68,0.088312,0.693618,0.595893,0.00000020
69,0.088557,0.694760,0.596272,0.00000020
70,0.088694,0.694427,0.595845,0.00000020
71,0.088575,0.696143,0.597781,0.00000020
72,0.088700,0.694424,0.595973,0.00000020
73,0.089994,0.694673,0.595751,0.00000010
74,0.088688,0.695610,0.597691,0.00000010
75,0.088137,0.694858,0.596178,0.00000010
76,0.089321,0.693397,0.595442,0.00000010
77,0.089246,0.693525,0.595702,0.00000010
78,0.088394,0.695731,0.596293,0.00000010
79,0.088662,0.694752,0.596922,0.00000005
80,0.088630,0.695571,0.597120,0.00000005
81,0.088798,0.695539,0.597100,0.00000005
82,0.088884,0.692961,0.594948,0.00000005
83,0.088656,0.694909,0.596420,0.00000005
84,0.088945,0.695488,0.597740,0.00000005
85,0.089023,0.692923,0.594994,0.00000002
86,0.088786,0.693022,0.595019,0.00000002
87,0.088953,0.695252,0.596925,0.00000002
88,0.089397,0.694165,0.595293,0.00000002
89,0.088773,0.694101,0.596669,0.00000002
90,0.089097,0.694850,0.596822,0.00000002
91,0.088661,0.694412,0.596463,0.00000001
92,0.088511,0.692712,0.594788,0.00000001
93,0.088276,0.691055,0.593226,0.00000001
94,0.089442,0.694671,0.597022,0.00000001
95,0.089171,0.696503,0.597646,0.00000001
96,0.088347,0.696610,0.598559,0.00000001
97,0.088620,0.693611,0.595759,0.00000001
98,0.088828,0.694683,0.596674,0.00000001
99,0.089199,0.694038,0.596562,0.00000001
100,0.088381,0.694120,0.597318,0.00000001
