epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,0.873566,0.411742,0.319095,0.00010000
2,0.683545,0.628286,0.539879,0.00010000
3,0.540594,0.582198,0.488216,0.00010000
4,0.521122,0.628667,0.541235,0.00010000
5,0.507630,0.661272,0.578709,0.00010000
6,0.478232,0.652271,0.564969,0.00010000
7,0.453518,0.660349,0.581617,0.00010000
1,0.860100,0.405392,0.309568,0.00010000
2,0.661058,0.603790,0.509750,0.00010000
3,0.553439,0.636405,0.546997,0.00010000
4,0.464238,0.633255,0.544694,0.00010000
5,0.429815,0.608870,0.541445,0.00010000
6,0.429856,0.588642,0.497760,0.00010000
7,0.424080,0.667771,0.590929,0.00010000
8,0.460427,0.570567,0.508176,0.00010000
9,0.438403,0.620806,0.531766,0.00010000
10,0.412934,0.639922,0.567870,0.00010000
11,0.393337,0.660151,0.577546,0.00010000
12,0.386153,0.598554,0.527023,0.00010000
13,0.382313,0.673937,0.595619,0.00010000
14,0.346325,0.635472,0.556817,0.00010000
15,0.403968,0.664191,0.585348,0.00010000
16,0.399313,0.648575,0.572789,0.00010000
17,0.384991,0.678007,0.598496,0.00010000
18,0.339499,0.682799,0.605549,0.00010000
19,0.392169,0.658500,0.584072,0.00010000
20,0.346050,0.716318,0.641025,0.00010000
21,0.323541,0.705044,0.627045,0.00010000
22,0.297264,0.638446,0.553965,0.00010000
23,0.325410,0.731120,0.657879,0.00010000
24,0.349756,0.554947,0.501279,0.00010000
25,0.354571,0.695755,0.619338,0.00010000
26,0.337885,0.709270,0.638729,0.00010000
27,0.321790,0.689684,0.610169,0.00010000
28,0.290308,0.669657,0.587662,0.00010000
29,0.294138,0.671341,0.595124,0.00005000
30,0.283318,0.694351,0.616346,0.00005000
31,0.290633,0.682911,0.614744,0.00005000
32,0.263176,0.720147,0.644049,0.00005000
33,0.272413,0.723562,0.647051,0.00005000
34,0.257389,0.706668,0.629735,0.00005000
35,0.268951,0.704891,0.634469,0.00002500
36,0.251386,0.713877,0.638470,0.00002500
37,0.244529,0.703797,0.624528,0.00002500
38,0.238839,0.712202,0.635072,0.00002500
39,0.230938,0.705593,0.625845,0.00002500
40,0.227583,0.701858,0.625761,0.00002500
41,0.244725,0.710248,0.631546,0.00001250
42,0.228804,0.694372,0.616486,0.00001250
43,0.223808,0.688195,0.609943,0.00001250
44,0.220454,0.720146,0.643786,0.00001250
45,0.216581,0.700945,0.621759,0.00001250
46,0.215310,0.713153,0.633813,0.00001250
47,0.217351,0.713361,0.635587,0.00000625
48,0.208665,0.711551,0.632188,0.00000625
49,0.207208,0.713412,0.634493,0.00000625
50,0.205253,0.702828,0.624504,0.00000625
51,0.211342,0.702673,0.622532,0.00000625
52,0.208172,0.705409,0.626908,0.00000625
53,0.211950,0.704444,0.626607,0.00000313
54,0.204340,0.709350,0.630835,0.00000313
55,0.199261,0.702478,0.624156,0.00000313
56,0.205098,0.707380,0.628424,0.00000313
57,0.203501,0.709261,0.631046,0.00000313
58,0.204021,0.706529,0.627013,0.00000313
59,0.207392,0.705435,0.626092,0.00000156
60,0.207859,0.708763,0.630211,0.00000156
61,0.205901,0.707936,0.629285,0.00000156
62,0.197020,0.709507,0.631151,0.00000156
63,0.200196,0.713117,0.634278,0.00000156
64,0.198885,0.713164,0.634566,0.00000156
65,0.199337,0.710216,0.632289,0.00000078
66,0.201075,0.706352,0.627279,0.00000078
67,0.201142,0.710957,0.632914,0.00000078
68,0.196538,0.706353,0.627420,0.00000078
69,0.196276,0.714959,0.637840,0.00000078
70,0.194796,0.709833,0.631542,0.00000078
71,0.200109,0.704742,0.626553,0.00000039
72,0.200350,0.706165,0.628586,0.00000039
73,0.198080,0.717832,0.639060,0.00000039
74,0.195910,0.711617,0.633867,0.00000039
75,0.200771,0.708663,0.630406,0.00000039
76,0.192937,0.709011,0.630797,0.00000039
77,0.195540,0.707717,0.630181,0.00000020
78,0.196593,0.707516,0.629039,0.00000020
79,0.198949,0.711036,0.633196,0.00000020
80,0.193512,0.714528,0.637710,0.00000020
81,0.200400,0.708990,0.630346,0.00000020
82,0.198511,0.712888,0.634404,0.00000020
83,0.196167,0.714003,0.636897,0.00000010
84,0.193200,0.705732,0.628566,0.00000010
85,0.197490,0.707821,0.629219,0.00000010
86,0.196314,0.710666,0.633014,0.00000010
87,0.195907,0.707738,0.628935,0.00000010
88,0.194523,0.710481,0.632661,0.00000010
89,0.191969,0.704447,0.626360,0.00000005
90,0.196025,0.707247,0.628835,0.00000005
91,0.195258,0.707058,0.628520,0.00000005
92,0.194026,0.709053,0.630888,0.00000005
93,0.192764,0.716572,0.638561,0.00000005
94,0.194233,0.706870,0.627899,0.00000005
95,0.199452,0.712729,0.633907,0.00000002
96,0.194818,0.708805,0.630502,0.00000002
97,0.196580,0.712315,0.635047,0.00000002
98,0.201834,0.709490,0.631023,0.00000002
99,0.197190,0.712282,0.634632,0.00000002
100,0.195257,0.708929,0.630636,0.00000002
