epoch,train_loss,val_mean_dice,val_mean_iou,lr,collapse_guard
1,1.324262,0.446075,0.333472,0.00010000,0
2,1.166425,0.466516,0.346805,0.00010000,0
3,1.074477,0.482495,0.370738,0.00010000,0
4,0.999647,0.383712,0.265096,0.00010000,0
5,0.921861,0.480154,0.351336,0.00010000,0
6,0.815022,0.501310,0.394772,0.00010000,0
7,0.670665,0.584650,0.464303,0.00010000,0
8,0.525228,0.575820,0.455245,0.00010000,0
9,0.442470,0.582946,0.478395,0.00010000,0
10,0.376420,0.570698,0.467537,0.00010000,0
11,0.336668,0.560997,0.459317,0.00010000,0
12,0.325009,0.576710,0.468992,0.00010000,0
13,0.308283,0.556189,0.452401,0.00005000,0
14,0.280469,0.577085,0.468391,0.00005000,0
15,0.261915,0.587359,0.483311,0.00005000,0
16,0.259208,0.582443,0.482543,0.00005000,0
17,0.252569,0.579359,0.473266,0.00005000,0
18,0.243678,0.594303,0.491305,0.00005000,0
19,0.241785,0.558537,0.462256,0.00005000,0
20,0.232246,0.592360,0.484827,0.00005000,0
21,0.232519,0.571766,0.472898,0.00005000,0
22,0.225328,0.597789,0.491502,0.00005000,0
23,0.222385,0.593747,0.489651,0.00005000,0
24,0.221706,0.596713,0.490519,0.00005000,0
25,0.211921,0.580721,0.480997,0.00005000,0
26,0.210541,0.603250,0.498576,0.00005000,0
27,0.204766,0.599540,0.491213,0.00005000,0
28,0.198833,0.594598,0.492832,0.00005000,0
29,0.200130,0.587500,0.485905,0.00005000,0
30,0.191693,0.591306,0.490827,0.00005000,0
31,0.188424,0.575395,0.470075,0.00005000,0
32,0.180344,0.581856,0.479465,0.00002500,0
33,0.168473,0.589636,0.485536,0.00002500,0
34,0.160272,0.575519,0.472546,0.00002500,0
35,0.156316,0.581673,0.479819,0.00002500,0
36,0.159015,0.597988,0.493932,0.00002500,0
37,0.157241,0.588024,0.481555,0.00002500,0
38,0.151351,0.595800,0.489924,0.00001250,0
39,0.142511,0.595690,0.489493,0.00001250,0
40,0.138378,0.594206,0.488182,0.00001250,0
41,0.135926,0.594736,0.488185,0.00001250,0
42,0.133492,0.589975,0.483679,0.00001250,0
43,0.131845,0.588149,0.482473,0.00001250,0
44,0.129761,0.590955,0.485787,0.00000625,0
45,0.126423,0.590401,0.484602,0.00000625,0
46,0.124399,0.590937,0.484748,0.00000625,0
47,0.123477,0.589976,0.484228,0.00000625,0
48,0.122459,0.587141,0.481546,0.00000625,0
49,0.121324,0.589090,0.483193,0.00000625,0
50,0.120276,0.585600,0.479771,0.00000313,0
51,0.118321,0.589924,0.484657,0.00000313,0
52,0.118005,0.588735,0.483022,0.00000313,0
53,0.117082,0.589603,0.483583,0.00000313,0
54,0.116274,0.586432,0.481260,0.00000313,0
55,0.115859,0.581174,0.474957,0.00000313,0
56,0.115559,0.586334,0.480518,0.00000156,0
57,0.114103,0.582053,0.475889,0.00000156,0
58,0.113940,0.586161,0.480351,0.00000156,0
59,0.113510,0.582706,0.477303,0.00000156,0
60,0.113242,0.578843,0.474199,0.00000156,0
61,0.113010,0.578754,0.474426,0.00000156,0
62,0.112808,0.574419,0.469532,0.00000078,0
63,0.112657,0.577922,0.472759,0.00000078,0
64,0.112118,0.576964,0.472256,0.00000078,0
65,0.111842,0.587648,0.481557,0.00000078,0
66,0.111987,0.583015,0.477117,0.00000078,0
67,0.111393,0.582979,0.477375,0.00000078,0
68,0.111291,0.585473,0.479215,0.00000039,0
69,0.111184,0.580601,0.474925,0.00000039,0
70,0.111055,0.584671,0.478593,0.00000039,0
71,0.110919,0.581157,0.475618,0.00000039,0
72,0.110693,0.577878,0.473104,0.00000039,0
73,0.110717,0.580971,0.475418,0.00000039,0
74,0.110902,0.580664,0.476009,0.00000020,0
75,0.110746,0.580813,0.475260,0.00000020,0
76,0.110406,0.579890,0.473861,0.00000020,0
77,0.110883,0.585683,0.479639,0.00000020,0
78,0.110405,0.580900,0.475510,0.00000020,0
79,0.110368,0.582417,0.477402,0.00000020,0
80,0.110661,0.579174,0.474027,0.00000010,0
81,0.110416,0.577286,0.472409,0.00000010,0
82,0.110403,0.577538,0.472816,0.00000010,0
83,0.110209,0.577797,0.472869,0.00000010,0
84,0.110442,0.581437,0.476215,0.00000010,0
85,0.110796,0.581275,0.475665,0.00000010,0
86,0.110566,0.579350,0.474616,0.00000005,0
87,0.110387,0.585795,0.479734,0.00000005,0
88,0.110147,0.579751,0.474810,0.00000005,0
89,0.110605,0.582190,0.476094,0.00000005,0
90,0.109997,0.583109,0.477028,0.00000005,0
91,0.110132,0.583168,0.476779,0.00000005,0
92,0.110455,0.577482,0.472402,0.00000002,0
93,0.110422,0.579515,0.474986,0.00000002,0
94,0.110567,0.581667,0.476233,0.00000002,0
95,0.109851,0.579643,0.474312,0.00000002,0
96,0.110045,0.575746,0.470568,0.00000002,0
97,0.109890,0.582532,0.477427,0.00000002,0
98,0.110332,0.578162,0.473254,0.00000001,0
99,0.109996,0.578549,0.473372,0.00000001,0
100,0.110373,0.587004,0.480670,0.00000001,0
