epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.156453,0.464757,0.347506,0.00010000
2,0.628617,0.617285,0.492520,0.00010000
3,0.485517,0.636623,0.510426,0.00010000
4,0.424847,0.652824,0.532295,0.00010000
5,0.376283,0.653853,0.534291,0.00010000
6,0.353565,0.663616,0.555422,0.00010000
7,0.330597,0.657580,0.541720,0.00010000
8,0.316198,0.662185,0.545384,0.00010000
9,0.296615,0.655364,0.544197,0.00010000
10,0.277971,0.652631,0.535454,0.00010000
11,0.268897,0.649960,0.539881,0.00010000
12,0.251140,0.657499,0.541535,0.00005000
13,0.234347,0.643771,0.542243,0.00005000
14,0.218603,0.647203,0.533958,0.00005000
15,0.209592,0.653015,0.542843,0.00005000
16,0.204534,0.645603,0.532511,0.00005000
17,0.196610,0.648958,0.540147,0.00005000
18,0.191839,0.647896,0.537970,0.00002500
19,0.185878,0.647949,0.535540,0.00002500
20,0.178192,0.637974,0.531350,0.00002500
21,0.173520,0.638824,0.534536,0.00002500
22,0.171911,0.641068,0.540388,0.00002500
23,0.167392,0.636004,0.530592,0.00002500
24,0.165672,0.648684,0.543319,0.00001250
25,0.162523,0.643070,0.539418,0.00001250
26,0.159420,0.641918,0.539132,0.00001250
27,0.159565,0.639152,0.538333,0.00001250
28,0.156116,0.643306,0.537578,0.00001250
29,0.155197,0.645166,0.542065,0.00001250
30,0.153622,0.646891,0.544566,0.00000625
31,0.152737,0.645369,0.541614,0.00000625
32,0.151214,0.646828,0.543203,0.00000625
33,0.149365,0.644379,0.541818,0.00000625
34,0.149604,0.645322,0.542830,0.00000625
35,0.149289,0.648146,0.543646,0.00000625
36,0.148953,0.643125,0.539201,0.00000313
37,0.147460,0.644184,0.541496,0.00000313
38,0.147824,0.645546,0.541287,0.00000313
39,0.147060,0.647273,0.543969,0.00000313
40,0.147461,0.646887,0.544819,0.00000313
41,0.146615,0.640671,0.537507,0.00000313
42,0.144681,0.641771,0.538042,0.00000156
43,0.145131,0.643970,0.539607,0.00000156
44,0.145842,0.641271,0.538269,0.00000156
45,0.146076,0.647847,0.544008,0.00000156
46,0.144709,0.644064,0.541097,0.00000156
47,0.145026,0.643524,0.541039,0.00000156
48,0.143874,0.643229,0.539600,0.00000078
49,0.145432,0.645043,0.542615,0.00000078
50,0.144641,0.643688,0.538226,0.00000078
51,0.144374,0.642150,0.539240,0.00000078
52,0.146022,0.642610,0.539093,0.00000078
53,0.143189,0.644299,0.540182,0.00000078
54,0.144101,0.645301,0.542268,0.00000039
55,0.143306,0.644728,0.539893,0.00000039
56,0.144120,0.646335,0.543296,0.00000039
57,0.143941,0.641415,0.536991,0.00000039
58,0.142714,0.643567,0.539249,0.00000039
59,0.143405,0.645000,0.541377,0.00000039
60,0.142086,0.641453,0.537166,0.00000020
61,0.145669,0.642589,0.539543,0.00000020
62,0.143897,0.644252,0.539130,0.00000020
63,0.143237,0.649320,0.545253,0.00000020
64,0.143025,0.645243,0.540108,0.00000020
65,0.143146,0.643602,0.538918,0.00000020
66,0.143146,0.647317,0.542715,0.00000010
67,0.143223,0.647055,0.542265,0.00000010
68,0.144225,0.644702,0.541802,0.00000010
69,0.143169,0.643789,0.540894,0.00000010
70,0.142401,0.644892,0.541776,0.00000010
71,0.143626,0.644810,0.541649,0.00000010
72,0.142186,0.642659,0.538511,0.00000005
73,0.144002,0.643555,0.538758,0.00000005
74,0.142872,0.640687,0.536772,0.00000005
75,0.144541,0.644227,0.540097,0.00000005
76,0.143345,0.643664,0.539377,0.00000005
77,0.143416,0.644431,0.539740,0.00000005
78,0.143535,0.645571,0.541722,0.00000002
79,0.143338,0.645051,0.540649,0.00000002
80,0.142877,0.643514,0.537895,0.00000002
81,0.145513,0.646809,0.543873,0.00000002
82,0.143769,0.645973,0.543023,0.00000002
83,0.142612,0.646479,0.543465,0.00000002
84,0.143311,0.644489,0.542211,0.00000001
85,0.143168,0.642327,0.539066,0.00000001
86,0.143231,0.643706,0.540653,0.00000001
87,0.143736,0.646255,0.541921,0.00000001
88,0.143786,0.642855,0.538396,0.00000001
89,0.143031,0.648074,0.543840,0.00000001
90,0.142110,0.645678,0.541885,0.00000001
91,0.142656,0.645318,0.542227,0.00000001
92,0.143234,0.643629,0.541215,0.00000001
93,0.143418,0.642184,0.537351,0.00000001
94,0.144136,0.646555,0.541784,0.00000001
95,0.143457,0.647178,0.544270,0.00000001
96,0.143166,0.642776,0.537282,0.00000001
97,0.143583,0.643125,0.538635,0.00000001
98,0.143789,0.647471,0.545417,0.00000001
99,0.144032,0.644103,0.538744,0.00000001
100,0.142959,0.646184,0.542419,0.00000001
