epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.187906,0.395149,0.281278,0.00010000
2,0.792953,0.466134,0.340103,0.00010000
3,0.588550,0.491713,0.373247,0.00010000
4,0.470732,0.506895,0.385976,0.00010000
5,0.418120,0.536571,0.417535,0.00010000
6,0.386463,0.519234,0.400511,0.00010000
7,0.364587,0.507268,0.387686,0.00010000
8,0.343400,0.522063,0.412601,0.00010000
9,0.323345,0.532907,0.415523,0.00010000
10,0.312551,0.547285,0.424639,0.00010000
11,0.299633,0.527458,0.409632,0.00010000
12,0.288797,0.551256,0.423005,0.00010000
13,0.279568,0.542899,0.421587,0.00010000
14,0.268819,0.538186,0.422728,0.00010000
15,0.266001,0.549193,0.427354,0.00010000
16,0.257877,0.532569,0.415708,0.00010000
17,0.252882,0.542204,0.426246,0.00010000
18,0.246296,0.543126,0.422978,0.00005000
19,0.227269,0.551368,0.429777,0.00005000
20,0.218484,0.553942,0.433689,0.00005000
21,0.211824,0.536566,0.418151,0.00005000
22,0.209553,0.561329,0.439730,0.00005000
23,0.209364,0.538984,0.420630,0.00005000
24,0.204060,0.540798,0.420032,0.00005000
25,0.199179,0.558632,0.438553,0.00005000
26,0.199718,0.545666,0.423137,0.00005000
27,0.198572,0.530955,0.413320,0.00005000
28,0.196053,0.534585,0.413316,0.00002500
29,0.188808,0.542908,0.421609,0.00002500
30,0.184833,0.546572,0.422902,0.00002500
31,0.181424,0.552183,0.431053,0.00002500
32,0.179142,0.541873,0.420253,0.00002500
33,0.179321,0.540227,0.418968,0.00002500
34,0.176853,0.530465,0.410419,0.00001250
35,0.174359,0.539751,0.419093,0.00001250
36,0.172232,0.532361,0.413088,0.00001250
37,0.171392,0.532585,0.412544,0.00001250
38,0.169578,0.533677,0.413610,0.00001250
39,0.168455,0.531649,0.412052,0.00001250
40,0.167829,0.525470,0.406467,0.00000625
41,0.165786,0.524154,0.406227,0.00000625
42,0.165602,0.531524,0.413111,0.00000625
43,0.164934,0.536514,0.416682,0.00000625
44,0.164333,0.535390,0.413508,0.00000625
45,0.163905,0.522864,0.403960,0.00000625
46,0.162590,0.526164,0.406657,0.00000313
47,0.161547,0.534276,0.412849,0.00000313
48,0.160629,0.529378,0.408858,0.00000313
49,0.161108,0.524654,0.402682,0.00000313
50,0.160311,0.530856,0.410634,0.00000313
51,0.159382,0.527519,0.407152,0.00000313
52,0.158995,0.528684,0.409216,0.00000156
