epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.292803,0.393396,0.301503,0.00010000
2,0.835774,0.476472,0.390047,0.00010000
3,0.731191,0.405945,0.319515,0.00010000
4,0.682844,0.434438,0.347773,0.00010000
5,0.647096,0.490689,0.405342,0.00010000
6,0.624398,0.577677,0.493098,0.00010000
7,0.607972,0.435374,0.350025,0.00010000
8,0.594099,0.454796,0.369577,0.00010000
9,0.577181,0.454644,0.370052,0.00010000
10,0.575342,0.485231,0.398806,0.00010000
11,0.554551,0.574525,0.494477,0.00010000
12,0.484475,0.611193,0.525874,0.00010000
13,0.429591,0.582945,0.499129,0.00010000
14,0.443151,0.622957,0.541970,0.00010000
15,0.393105,0.659059,0.580331,0.00010000
16,0.351612,0.635410,0.551176,0.00010000
17,0.359077,0.612533,0.525528,0.00010000
18,0.335532,0.638355,0.558289,0.00010000
19,0.321555,0.658561,0.576757,0.00010000
20,0.307282,0.621640,0.543479,0.00010000
21,0.295294,0.644720,0.563184,0.00005000
22,0.265250,0.660589,0.579863,0.00005000
23,0.259620,0.647602,0.564296,0.00005000
24,0.243809,0.651634,0.571874,0.00005000
25,0.236063,0.641132,0.557360,0.00005000
26,0.220659,0.641584,0.564855,0.00005000
27,0.225170,0.599087,0.513153,0.00005000
28,0.208025,0.637004,0.559060,0.00002500
29,0.195009,0.621351,0.545682,0.00002500
30,0.192641,0.631256,0.551374,0.00002500
31,0.194035,0.641918,0.563333,0.00002500
32,0.183861,0.636630,0.556473,0.00002500
33,0.179188,0.634626,0.552842,0.00002500
34,0.176791,0.623519,0.544220,0.00001250
35,0.173400,0.618511,0.538599,0.00001250
36,0.168931,0.626669,0.546527,0.00001250
37,0.166428,0.632422,0.552974,0.00001250
38,0.165294,0.622190,0.543688,0.00001250
39,0.165085,0.629174,0.551874,0.00001250
40,0.162156,0.617454,0.537723,0.00000625
41,0.159741,0.627659,0.548036,0.00000625
42,0.159899,0.623088,0.543888,0.00000625
43,0.158741,0.613533,0.533104,0.00000625
44,0.160170,0.611922,0.534079,0.00000625
45,0.153006,0.621911,0.542132,0.00000625
46,0.155562,0.611594,0.534545,0.00000313
47,0.155432,0.622691,0.544066,0.00000313
48,0.152842,0.617665,0.539707,0.00000313
49,0.151999,0.617564,0.538913,0.00000313
50,0.152244,0.613034,0.534971,0.00000313
51,0.152222,0.615270,0.535671,0.00000313
52,0.149454,0.618656,0.539367,0.00000156
53,0.149920,0.607433,0.529504,0.00000156
54,0.150553,0.607279,0.529126,0.00000156
55,0.152743,0.611679,0.533328,0.00000156
56,0.151080,0.609413,0.530734,0.00000156
57,0.147376,0.616100,0.537027,0.00000156
58,0.150664,0.619520,0.540203,0.00000078
59,0.149479,0.623581,0.544553,0.00000078
60,0.149137,0.618141,0.538072,0.00000078
61,0.148452,0.611214,0.532844,0.00000078
62,0.149134,0.614050,0.534536,0.00000078
63,0.149420,0.613990,0.535466,0.00000078
64,0.152565,0.618439,0.538679,0.00000039
65,0.145307,0.611988,0.533136,0.00000039
66,0.148169,0.608903,0.530449,0.00000039
67,0.145520,0.611052,0.532374,0.00000039
68,0.144473,0.618259,0.538581,0.00000039
69,0.147179,0.611380,0.532865,0.00000039
70,0.148611,0.614302,0.535761,0.00000020
71,0.147331,0.618117,0.539061,0.00000020
72,0.148382,0.616125,0.537717,0.00000020
73,0.147319,0.618923,0.539960,0.00000020
74,0.148209,0.618738,0.540008,0.00000020
75,0.144638,0.622774,0.542434,0.00000020
76,0.148467,0.618423,0.538639,0.00000010
77,0.148077,0.626924,0.547218,0.00000010
78,0.147770,0.623772,0.544417,0.00000010
79,0.145965,0.614842,0.535934,0.00000010
80,0.146903,0.617828,0.538416,0.00000010
81,0.149920,0.617021,0.537728,0.00000010
82,0.145645,0.621236,0.542165,0.00000005
83,0.146535,0.615839,0.536957,0.00000005
84,0.146224,0.630320,0.550173,0.00000005
85,0.146975,0.614750,0.536468,0.00000005
86,0.147025,0.622877,0.543760,0.00000005
87,0.148600,0.608834,0.530821,0.00000005
88,0.147085,0.629426,0.549398,0.00000002
89,0.148112,0.622308,0.542419,0.00000002
90,0.146752,0.616076,0.536698,0.00000002
91,0.145501,0.621855,0.542241,0.00000002
92,0.147142,0.628411,0.548603,0.00000002
93,0.145800,0.626590,0.546855,0.00000002
94,0.148423,0.615481,0.536407,0.00000001
95,0.147155,0.621077,0.541694,0.00000001
96,0.147580,0.615386,0.537274,0.00000001
97,0.147084,0.612653,0.533486,0.00000001
98,0.146871,0.615352,0.536013,0.00000001
99,0.148028,0.610479,0.530623,0.00000001
100,0.145846,0.617188,0.537665,0.00000001
