epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.051334,0.596781,0.490097,0.00010000
2,0.345415,0.657422,0.547187,0.00010000
3,0.266370,0.668568,0.561944,0.00010000
4,0.228505,0.655448,0.551103,0.00010000
5,0.196513,0.653900,0.537060,0.00010000
6,0.187933,0.589201,0.490805,0.00010000
7,0.170471,0.623781,0.526663,0.00010000
8,0.158573,0.660148,0.559681,0.00010000
9,0.147409,0.653174,0.557072,0.00005000
10,0.132560,0.646891,0.554170,0.00005000
11,0.128218,0.661692,0.552729,0.00005000
12,0.120159,0.684214,0.576582,0.00005000
13,0.116378,0.689350,0.580966,0.00005000
14,0.113118,0.672993,0.571823,0.00005000
15,0.110988,0.674338,0.567056,0.00005000
16,0.109376,0.682493,0.576326,0.00005000
17,0.108083,0.679898,0.575415,0.00005000
18,0.106561,0.676316,0.574984,0.00005000
19,0.109089,0.662191,0.557661,0.00002500
20,0.104646,0.664952,0.561315,0.00002500
21,0.095371,0.669930,0.564440,0.00002500
22,0.091660,0.678678,0.573219,0.00002500
23,0.088985,0.667851,0.564463,0.00002500
24,0.087479,0.669969,0.565564,0.00002500
25,0.088281,0.677607,0.572864,0.00001250
26,0.085588,0.650801,0.552774,0.00001250
27,0.082027,0.666776,0.565570,0.00001250
28,0.080546,0.665170,0.563455,0.00001250
29,0.079204,0.664960,0.562927,0.00001250
30,0.079436,0.670248,0.567180,0.00001250
31,0.078411,0.665104,0.563668,0.00000625
32,0.076806,0.667077,0.564394,0.00000625
33,0.075947,0.667865,0.565413,0.00000625
34,0.075019,0.664828,0.563202,0.00000625
35,0.073852,0.666443,0.564018,0.00000625
36,0.073735,0.665881,0.564167,0.00000625
37,0.073196,0.667304,0.564185,0.00000313
38,0.072002,0.666555,0.564534,0.00000313
39,0.071947,0.668086,0.564550,0.00000313
40,0.071084,0.665822,0.562741,0.00000313
41,0.071158,0.669000,0.565169,0.00000313
42,0.070506,0.667040,0.564044,0.00000313
43,0.070290,0.666332,0.563624,0.00000156
44,0.069975,0.668837,0.564760,0.00000156
45,0.069595,0.666841,0.563180,0.00000156
46,0.069272,0.666013,0.562929,0.00000156
47,0.069631,0.667794,0.563336,0.00000156
48,0.069732,0.666267,0.562869,0.00000156
49,0.068968,0.667740,0.564307,0.00000078
50,0.069038,0.670646,0.566239,0.00000078
51,0.069148,0.667506,0.564105,0.00000078
52,0.068698,0.667332,0.563750,0.00000078
53,0.068507,0.667416,0.563718,0.00000078
54,0.068463,0.668916,0.564182,0.00000078
55,0.068335,0.667805,0.564381,0.00000039
56,0.068275,0.667749,0.564246,0.00000039
57,0.068466,0.667219,0.563541,0.00000039
58,0.068218,0.668224,0.563711,0.00000039
59,0.068415,0.668230,0.564729,0.00000039
60,0.068257,0.668956,0.564663,0.00000039
61,0.068098,0.666728,0.563249,0.00000020
62,0.068050,0.669059,0.564374,0.00000020
63,0.068170,0.667845,0.563192,0.00000020
64,0.068037,0.666638,0.563568,0.00000020
65,0.068097,0.668221,0.564229,0.00000020
66,0.067913,0.666950,0.563587,0.00000020
67,0.067937,0.665405,0.562136,0.00000010
68,0.068159,0.665590,0.562073,0.00000010
69,0.068017,0.666840,0.562970,0.00000010
70,0.067888,0.666227,0.562494,0.00000010
71,0.067843,0.668190,0.563954,0.00000010
72,0.068058,0.666735,0.562965,0.00000010
73,0.068048,0.670484,0.565590,0.00000005
74,0.067898,0.668817,0.564299,0.00000005
75,0.068108,0.668824,0.564561,0.00000005
76,0.067845,0.667544,0.563905,0.00000005
77,0.067794,0.666685,0.562611,0.00000005
78,0.067753,0.669744,0.564724,0.00000005
79,0.067804,0.667293,0.563242,0.00000002
80,0.067832,0.667808,0.563983,0.00000002
81,0.067755,0.666289,0.562542,0.00000002
82,0.067760,0.666051,0.563097,0.00000002
83,0.068126,0.669044,0.563947,0.00000002
84,0.067750,0.666211,0.562743,0.00000002
85,0.068048,0.668375,0.564223,0.00000001
86,0.067927,0.664922,0.562125,0.00000001
87,0.067813,0.665516,0.562474,0.00000001
88,0.068049,0.668393,0.564078,0.00000001
89,0.067804,0.667971,0.563515,0.00000001
90,0.067775,0.670036,0.564781,0.00000001
91,0.067907,0.665034,0.562334,0.00000001
92,0.067838,0.666437,0.562969,0.00000001
93,0.068111,0.667878,0.563972,0.00000001
94,0.067894,0.666792,0.563205,0.00000001
95,0.067835,0.665922,0.562851,0.00000001
96,0.068002,0.668738,0.564318,0.00000001
97,0.067816,0.668187,0.564128,0.00000001
98,0.067749,0.666286,0.562233,0.00000001
99,0.067858,0.669006,0.564344,0.00000001
100,0.067866,0.667838,0.564280,0.00000001
