epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,0.926143,0.558169,0.419653,0.00010000
2,0.345492,0.547308,0.428166,0.00010000
3,0.291732,0.578588,0.466839,0.00010000
4,0.259795,0.611667,0.490139,0.00010000
5,0.242169,0.625851,0.500918,0.00010000
6,0.222347,0.623964,0.503889,0.00010000
7,0.214379,0.577690,0.468866,0.00010000
8,0.200122,0.608514,0.488382,0.00010000
9,0.185622,0.624552,0.507634,0.00010000
10,0.177383,0.631110,0.506287,0.00010000
11,0.176228,0.599740,0.470405,0.00010000
12,0.169152,0.621118,0.506129,0.00010000
13,0.161133,0.616357,0.497711,0.00010000
14,0.159581,0.641883,0.521872,0.00010000
15,0.155037,0.599442,0.485526,0.00010000
16,0.151492,0.612001,0.497183,0.00010000
17,0.145622,0.619933,0.498656,0.00010000
18,0.140310,0.611925,0.497262,0.00010000
19,0.142863,0.616410,0.498239,0.00010000
20,0.138325,0.613647,0.491621,0.00005000
21,0.127096,0.631763,0.514888,0.00005000
22,0.119027,0.620801,0.506837,0.00005000
23,0.116568,0.626720,0.509566,0.00005000
24,0.114382,0.621051,0.505074,0.00005000
25,0.112515,0.623187,0.508537,0.00005000
26,0.112357,0.616157,0.502723,0.00002500
27,0.105375,0.635366,0.516413,0.00002500
28,0.101634,0.627094,0.509955,0.00002500
29,0.100192,0.619941,0.504857,0.00002500
30,0.097880,0.619210,0.503684,0.00002500
31,0.096991,0.624552,0.507003,0.00002500
32,0.096547,0.616202,0.499480,0.00001250
33,0.093886,0.624019,0.507431,0.00001250
34,0.090870,0.625328,0.508099,0.00001250
35,0.089949,0.627512,0.508685,0.00001250
36,0.089285,0.625166,0.507576,0.00001250
37,0.089070,0.622545,0.505202,0.00001250
38,0.087911,0.627681,0.509635,0.00000625
39,0.086998,0.627438,0.509117,0.00000625
40,0.085561,0.627231,0.509203,0.00000625
41,0.084749,0.626769,0.507741,0.00000625
42,0.084481,0.628744,0.510627,0.00000625
43,0.084281,0.619843,0.502325,0.00000625
44,0.084021,0.623476,0.505497,0.00000313
