epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.182843,0.594188,0.504843,0.00010000
2,0.634232,0.549960,0.468116,0.00010000
3,0.566009,0.534136,0.455776,0.00010000
4,0.522094,0.666803,0.594065,0.00010000
5,0.445648,0.690705,0.610321,0.00010000
6,0.373081,0.658184,0.569061,0.00010000
7,0.372069,0.696608,0.619638,0.00010000
8,0.357902,0.618998,0.536127,0.00010000
9,0.300343,0.696142,0.620888,0.00010000
10,0.293223,0.706207,0.631075,0.00010000
11,0.317859,0.714981,0.647985,0.00010000
12,0.328734,0.677373,0.597772,0.00010000
13,0.282577,0.688575,0.619214,0.00010000
14,0.289384,0.692024,0.617119,0.00010000
15,0.262147,0.708864,0.633558,0.00010000
16,0.230042,0.670862,0.593041,0.00010000
17,0.255536,0.711118,0.638058,0.00005000
18,0.237665,0.714717,0.639214,0.00005000
19,0.231463,0.648419,0.566695,0.00005000
20,0.213034,0.703835,0.626344,0.00005000
21,0.202786,0.697685,0.620581,0.00005000
22,0.207192,0.703655,0.629736,0.00005000
23,0.208850,0.699195,0.624691,0.00002500
24,0.184582,0.697397,0.622287,0.00002500
25,0.171102,0.701823,0.624249,0.00002500
26,0.163668,0.702558,0.624772,0.00002500
27,0.164531,0.688962,0.609491,0.00002500
28,0.157170,0.703495,0.625675,0.00002500
29,0.152433,0.669303,0.589569,0.00001250
30,0.143402,0.674788,0.595154,0.00001250
31,0.140257,0.689269,0.609518,0.00001250
32,0.134998,0.684142,0.603513,0.00001250
33,0.138068,0.684391,0.602907,0.00001250
34,0.133533,0.691078,0.610244,0.00001250
35,0.130040,0.689281,0.607545,0.00000625
36,0.127253,0.686098,0.604567,0.00000625
37,0.123680,0.687535,0.605711,0.00000625
38,0.122179,0.689463,0.607832,0.00000625
39,0.120982,0.686196,0.604061,0.00000625
40,0.120039,0.687718,0.605640,0.00000625
41,0.120898,0.683588,0.601134,0.00000313
42,0.118401,0.687351,0.605132,0.00000313
43,0.117405,0.686486,0.604312,0.00000313
44,0.116742,0.685531,0.602985,0.00000313
45,0.115407,0.688089,0.605962,0.00000313
46,0.115266,0.679788,0.596845,0.00000313
47,0.115222,0.681165,0.598023,0.00000156
48,0.113540,0.680789,0.597780,0.00000156
49,0.115047,0.679466,0.596137,0.00000156
50,0.113160,0.681964,0.598472,0.00000156
51,0.112918,0.680034,0.596853,0.00000156
52,0.111801,0.683799,0.600761,0.00000156
53,0.111131,0.683449,0.600593,0.00000078
54,0.111784,0.678245,0.594704,0.00000078
55,0.110833,0.680112,0.596635,0.00000078
56,0.110567,0.677955,0.594471,0.00000078
57,0.110415,0.680336,0.596751,0.00000078
58,0.110304,0.681798,0.598261,0.00000078
59,0.110089,0.679839,0.596235,0.00000039
60,0.109884,0.680296,0.596641,0.00000039
61,0.109933,0.675157,0.591400,0.00000039
62,0.109501,0.681758,0.598291,0.00000039
63,0.108996,0.678853,0.595292,0.00000039
64,0.110323,0.677762,0.594177,0.00000039
65,0.109623,0.683005,0.599539,0.00000020
66,0.108903,0.678382,0.594560,0.00000020
67,0.108944,0.678371,0.594597,0.00000020
68,0.109309,0.674432,0.590984,0.00000020
69,0.109408,0.678157,0.594366,0.00000020
70,0.108710,0.680317,0.596732,0.00000020
71,0.108821,0.680099,0.596493,0.00000010
72,0.108897,0.677765,0.594284,0.00000010
73,0.110320,0.677063,0.593742,0.00000010
74,0.109394,0.680439,0.596818,0.00000010
75,0.108829,0.676459,0.592778,0.00000010
76,0.108918,0.680649,0.597130,0.00000010
77,0.108375,0.680919,0.597307,0.00000005
78,0.108696,0.676264,0.592610,0.00000005
79,0.108857,0.679394,0.595495,0.00000005
80,0.108813,0.674900,0.591434,0.00000005
81,0.109226,0.680918,0.597245,0.00000005
82,0.108888,0.678699,0.595041,0.00000005
83,0.108833,0.680411,0.596917,0.00000002
84,0.109306,0.678226,0.594818,0.00000002
85,0.109157,0.676336,0.592720,0.00000002
86,0.108537,0.672750,0.589377,0.00000002
87,0.108759,0.678847,0.594949,0.00000002
88,0.108107,0.678761,0.595391,0.00000002
89,0.109272,0.678125,0.594456,0.00000001
90,0.108580,0.679186,0.595678,0.00000001
91,0.108000,0.680181,0.596247,0.00000001
92,0.108696,0.680322,0.596713,0.00000001
93,0.107682,0.682470,0.599088,0.00000001
94,0.109617,0.672634,0.589052,0.00000001
95,0.107911,0.681253,0.597691,0.00000001
96,0.109051,0.680542,0.597049,0.00000001
97,0.108036,0.676527,0.592785,0.00000001
98,0.108777,0.680461,0.596954,0.00000001
99,0.107912,0.675677,0.591693,0.00000001
100,0.108845,0.678758,0.595211,0.00000001
