epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.459777,0.132847,0.075102,0.00010000
2,1.221187,0.209366,0.126446,0.00010000
3,1.064888,0.260260,0.163260,0.00010000
4,0.952589,0.285908,0.183447,0.00010000
5,0.855484,0.265562,0.168106,0.00010000
6,0.771766,0.300666,0.193208,0.00010000
7,0.692386,0.327850,0.212079,0.00010000
8,0.642841,0.415563,0.283842,0.00010000
9,0.569894,0.395353,0.269877,0.00010000
10,0.503681,0.356171,0.236100,0.00010000
11,0.499743,0.476761,0.338243,0.00010000
12,0.417869,0.503475,0.366260,0.00010000
13,0.401804,0.422974,0.292378,0.00010000
14,0.391064,0.445275,0.307582,0.00010000
15,0.324976,0.530551,0.392260,0.00010000
16,0.339875,0.553888,0.416816,0.00010000
17,0.328376,0.546109,0.403612,0.00010000
18,0.343035,0.511755,0.372438,0.00010000
19,0.332493,0.541667,0.413948,0.00010000
20,0.286501,0.548716,0.425074,0.00010000
21,0.328583,0.533613,0.422508,0.00010000
22,0.274784,0.574223,0.438008,0.00010000
23,0.297004,0.540307,0.393686,0.00010000
24,0.279499,0.538905,0.424216,0.00010000
25,0.302256,0.563068,0.419901,0.00010000
26,0.260279,0.584206,0.466848,0.00010000
27,0.296073,0.594966,0.482199,0.00010000
28,0.215092,0.618946,0.482050,0.00010000
29,0.267313,0.581939,0.455804,0.00010000
30,0.291488,0.472331,0.338902,0.00010000
31,0.265596,0.624142,0.502971,0.00010000
32,0.241476,0.577272,0.456684,0.00010000
33,0.240440,0.572476,0.460790,0.00010000
34,0.264227,0.543146,0.459042,0.00010000
35,0.237821,0.546876,0.432835,0.00010000
36,0.225024,0.534540,0.438834,0.00010000
37,0.219181,0.541141,0.449311,0.00005000
38,0.226483,0.542673,0.448803,0.00005000
39,0.233210,0.606527,0.490843,0.00005000
40,0.218265,0.631175,0.510156,0.00005000
41,0.194586,0.576499,0.478296,0.00005000
42,0.176051,0.554998,0.451755,0.00005000
43,0.231264,0.545182,0.444732,0.00005000
44,0.224814,0.579493,0.467149,0.00005000
45,0.216658,0.613050,0.489027,0.00005000
46,0.204902,0.532050,0.433308,0.00002500
47,0.184934,0.603563,0.490386,0.00002500
48,0.186168,0.601851,0.477504,0.00002500
49,0.197543,0.580009,0.465546,0.00002500
50,0.189389,0.582183,0.466940,0.00002500
51,0.191799,0.589930,0.465713,0.00002500
52,0.204769,0.539922,0.443100,0.00001250
53,0.199761,0.572876,0.463245,0.00001250
54,0.193378,0.576431,0.469347,0.00001250
55,0.195633,0.580436,0.469025,0.00001250
56,0.179146,0.568835,0.462396,0.00001250
57,0.201515,0.578028,0.467512,0.00001250
58,0.200109,0.589163,0.474848,0.00000625
59,0.210051,0.549064,0.449546,0.00000625
60,0.187363,0.546579,0.444028,0.00000625
61,0.197203,0.560726,0.450301,0.00000625
62,0.180542,0.580138,0.465032,0.00000625
63,0.194353,0.565227,0.460665,0.00000625
64,0.204156,0.562891,0.462577,0.00000313
65,0.184762,0.553753,0.457601,0.00000313
66,0.203038,0.563255,0.462716,0.00000313
67,0.170389,0.563293,0.463141,0.00000313
68,0.191461,0.553490,0.456355,0.00000313
69,0.200680,0.562132,0.462439,0.00000313
70,0.186289,0.554115,0.456957,0.00000156
71,0.195896,0.567495,0.465271,0.00000156
72,0.189875,0.546220,0.447497,0.00000156
73,0.199648,0.546678,0.448518,0.00000156
74,0.180060,0.546639,0.448797,0.00000156
75,0.201296,0.552895,0.453648,0.00000156
76,0.186774,0.559907,0.458884,0.00000078
77,0.179505,0.557924,0.457274,0.00000078
78,0.160537,0.559314,0.457497,0.00000078
79,0.176149,0.565265,0.461814,0.00000078
80,0.187453,0.556899,0.455094,0.00000078
81,0.172687,0.561688,0.459291,0.00000078
82,0.174134,0.549470,0.449911,0.00000039
83,0.170103,0.551880,0.452418,0.00000039
84,0.186384,0.554487,0.455003,0.00000039
85,0.159616,0.549354,0.450642,0.00000039
86,0.190566,0.554575,0.455097,0.00000039
87,0.172588,0.551520,0.452501,0.00000039
88,0.191497,0.551140,0.452434,0.00000020
89,0.178171,0.549341,0.450959,0.00000020
90,0.214828,0.551113,0.452497,0.00000020
91,0.173836,0.548881,0.450645,0.00000020
92,0.163915,0.548333,0.449836,0.00000020
93,0.177623,0.556908,0.457108,0.00000020
94,0.208991,0.553598,0.454303,0.00000010
95,0.197670,0.557373,0.457616,0.00000010
96,0.195442,0.553747,0.454475,0.00000010
97,0.189610,0.556921,0.457183,0.00000010
98,0.165778,0.553602,0.454266,0.00000010
99,0.181519,0.553812,0.454406,0.00000010
100,0.182386,0.553097,0.453938,0.00000005
