epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,0.776273,0.379467,0.249384,0.00010000
2,0.488218,0.287276,0.182052,0.00010000
3,0.407530,0.444805,0.320364,0.00010000
4,0.493754,0.530496,0.407586,0.00010000
1,1.284506,0.103656,0.057294,0.00010000
2,0.973531,0.200236,0.119198,0.00010000
3,0.774181,0.189412,0.112906,0.00010000
4,0.581796,0.365135,0.237595,0.00010000
5,0.481557,0.419206,0.285909,0.00010000
6,0.457408,0.479033,0.335161,0.00010000
7,0.427626,0.489321,0.342771,0.00010000
8,0.443337,0.495607,0.366656,0.00010000
9,0.390467,0.496764,0.356867,0.00010000
10,0.388339,0.392215,0.264976,0.00010000
11,0.387137,0.517818,0.374551,0.00010000
12,0.346489,0.437485,0.301360,0.00010000
13,0.295157,0.530596,0.408778,0.00010000
14,0.304769,0.534867,0.411755,0.00010000
15,0.252970,0.387805,0.280345,0.00010000
16,0.313398,0.175431,0.102717,0.00010000
17,0.306385,0.475776,0.361892,0.00010000
18,0.302562,0.325526,0.210983,0.00010000
19,0.263134,0.526947,0.413238,0.00010000
20,0.231942,0.484030,0.368214,0.00005000
21,0.205241,0.556659,0.442121,0.00005000
22,0.184505,0.587807,0.471296,0.00005000
23,0.231994,0.467441,0.351563,0.00005000
24,0.201039,0.605740,0.486556,0.00005000
25,0.166845,0.621714,0.503090,0.00005000
26,0.167433,0.397956,0.306932,0.00005000
27,0.187641,0.476589,0.382095,0.00005000
28,0.175011,0.496915,0.404316,0.00005000
29,0.198777,0.424392,0.330452,0.00005000
30,0.160378,0.481582,0.390105,0.00005000
31,0.174205,0.615714,0.495622,0.00002500
32,0.142900,0.612205,0.491619,0.00002500
33,0.151889,0.569700,0.455829,0.00002500
34,0.145710,0.489479,0.395762,0.00002500
35,0.155754,0.609457,0.492039,0.00002500
36,0.155238,0.620940,0.503963,0.00002500
37,0.138377,0.576558,0.462594,0.00001250
38,0.133074,0.625780,0.507593,0.00001250
39,0.134212,0.573311,0.459772,0.00001250
40,0.140120,0.522887,0.421729,0.00001250
41,0.133301,0.451003,0.374009,0.00001250
42,0.145626,0.474610,0.385597,0.00001250
43,0.134327,0.491279,0.402061,0.00001250
44,0.134916,0.521353,0.418913,0.00000625
45,0.128528,0.560928,0.451660,0.00000625
46,0.138333,0.568510,0.458304,0.00000625
47,0.117418,0.520592,0.420451,0.00000625
48,0.131873,0.527884,0.427434,0.00000625
49,0.142662,0.543570,0.440449,0.00000625
50,0.134954,0.527716,0.426869,0.00000313
51,0.124988,0.536792,0.434638,0.00000313
52,0.136995,0.549702,0.443692,0.00000313
53,0.126565,0.539616,0.435242,0.00000313
54,0.122533,0.542307,0.437967,0.00000313
55,0.133798,0.546318,0.441004,0.00000313
56,0.119071,0.551745,0.444439,0.00000156
57,0.132209,0.556274,0.448258,0.00000156
58,0.128200,0.546489,0.440091,0.00000156
59,0.121068,0.555439,0.447473,0.00000156
60,0.128219,0.562712,0.453401,0.00000156
61,0.124292,0.575854,0.465930,0.00000156
62,0.128267,0.575812,0.465834,0.00000078
63,0.119504,0.577099,0.466846,0.00000078
64,0.126436,0.582620,0.472298,0.00000078
65,0.128287,0.552259,0.443862,0.00000078
66,0.128634,0.542946,0.436403,0.00000078
67,0.123921,0.547167,0.439478,0.00000078
68,0.124610,0.552426,0.443590,0.00000039
69,0.119809,0.548617,0.440501,0.00000039
70,0.124293,0.550114,0.441868,0.00000039
71,0.144916,0.556553,0.447174,0.00000039
72,0.119999,0.554803,0.445852,0.00000039
73,0.123487,0.547631,0.439770,0.00000039
74,0.128867,0.544929,0.437598,0.00000020
75,0.127101,0.545714,0.438301,0.00000020
76,0.126889,0.549131,0.441002,0.00000020
77,0.126561,0.548809,0.440631,0.00000020
78,0.118170,0.551753,0.443122,0.00000020
79,0.110005,0.552417,0.443939,0.00000020
80,0.131758,0.555189,0.445982,0.00000010
81,0.122402,0.555180,0.446305,0.00000010
82,0.120940,0.554317,0.445394,0.00000010
83,0.122404,0.553747,0.444737,0.00000010
84,0.126930,0.552728,0.444018,0.00000010
85,0.131859,0.554003,0.444972,0.00000010
86,0.123273,0.554459,0.445313,0.00000005
87,0.123727,0.555635,0.446265,0.00000005
88,0.124350,0.554246,0.445117,0.00000005
89,0.111749,0.555555,0.446286,0.00000005
90,0.129468,0.553068,0.444143,0.00000005
91,0.119073,0.555392,0.446209,0.00000005
92,0.126895,0.555088,0.445722,0.00000002
93,0.118469,0.553765,0.444812,0.00000002
94,0.128839,0.553292,0.444316,0.00000002
95,0.130102,0.553580,0.444796,0.00000002
96,0.127249,0.555636,0.446571,0.00000002
97,0.127967,0.553299,0.444333,0.00000002
98,0.110189,0.552029,0.443365,0.00000001
99,0.121325,0.553276,0.444318,0.00000001
100,0.124562,0.553440,0.444631,0.00000001
