epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,0.976303,0.582881,0.433842,0.00010000
2,0.518134,0.653120,0.517151,0.00010000
3,0.438643,0.683746,0.556336,0.00010000
4,0.352770,0.681569,0.548503,0.00010000
5,0.357004,0.685837,0.553698,0.00010000
6,0.319109,0.702888,0.578639,0.00010000
7,0.283688,0.691838,0.562395,0.00010000
8,0.290793,0.606470,0.458024,0.00010000
9,0.269018,0.611754,0.465309,0.00010000
10,0.254261,0.677818,0.544748,0.00010000
11,0.266258,0.653470,0.516680,0.00010000
12,0.237251,0.651191,0.515633,0.00005000
13,0.207726,0.662413,0.525854,0.00005000
14,0.184483,0.647051,0.507310,0.00005000
15,0.197428,0.670749,0.533196,0.00005000
16,0.207495,0.639964,0.499360,0.00005000
17,0.190666,0.659982,0.519275,0.00005000
18,0.176376,0.666827,0.528208,0.00002500
19,0.166811,0.672301,0.534866,0.00002500
20,0.172216,0.665063,0.525643,0.00002500
21,0.191033,0.678978,0.544041,0.00002500
22,0.163001,0.670969,0.533314,0.00002500
23,0.144894,0.668357,0.529878,0.00002500
24,0.171202,0.676157,0.540077,0.00001250
25,0.159012,0.671135,0.534180,0.00001250
26,0.155560,0.671096,0.534447,0.00001250
27,0.148535,0.656335,0.515372,0.00001250
28,0.146563,0.660089,0.520135,0.00001250
29,0.133665,0.651981,0.510765,0.00001250
30,0.124473,0.659034,0.519250,0.00000625
31,0.154581,0.660636,0.520370,0.00000625
32,0.159550,0.663113,0.523592,0.00000625
33,0.145260,0.666911,0.528518,0.00000625
34,0.145167,0.659755,0.519515,0.00000625
35,0.164372,0.664003,0.525002,0.00000625
36,0.147271,0.664318,0.525121,0.00000313
37,0.161186,0.664390,0.525173,0.00000313
38,0.129329,0.665014,0.525838,0.00000313
39,0.145474,0.670362,0.532798,0.00000313
40,0.138691,0.667294,0.528798,0.00000313
41,0.150677,0.664565,0.525544,0.00000313
42,0.138618,0.667111,0.528937,0.00000156
43,0.152287,0.664010,0.524942,0.00000156
44,0.141670,0.666308,0.527742,0.00000156
45,0.154523,0.668177,0.530241,0.00000156
46,0.143164,0.667852,0.529882,0.00000156
47,0.140299,0.665256,0.526493,0.00000156
48,0.145309,0.668619,0.530845,0.00000078
49,0.137450,0.665966,0.527352,0.00000078
50,0.142469,0.667213,0.529021,0.00000078
51,0.149004,0.666792,0.528546,0.00000078
52,0.119137,0.665884,0.527310,0.00000078
53,0.145353,0.666125,0.527673,0.00000078
54,0.137167,0.665706,0.527055,0.00000039
55,0.124745,0.664981,0.526131,0.00000039
56,0.135144,0.664340,0.525343,0.00000039
57,0.125050,0.665266,0.526469,0.00000039
58,0.132531,0.664870,0.525995,0.00000039
59,0.140950,0.665496,0.526770,0.00000039
60,0.142865,0.663753,0.524522,0.00000020
61,0.133540,0.665468,0.526727,0.00000020
62,0.122793,0.665179,0.526367,0.00000020
63,0.148693,0.665610,0.526938,0.00000020
64,0.122223,0.665551,0.526879,0.00000020
65,0.154649,0.665787,0.527191,0.00000020
66,0.133222,0.664940,0.526080,0.00000010
67,0.127867,0.665094,0.526270,0.00000010
68,0.131967,0.665286,0.526506,0.00000010
69,0.134001,0.664532,0.525554,0.00000010
70,0.138825,0.665371,0.526620,0.00000010
71,0.125794,0.666028,0.527478,0.00000010
72,0.125976,0.664612,0.525624,0.00000005
73,0.141711,0.664594,0.525621,0.00000005
74,0.132760,0.665410,0.526678,0.00000005
75,0.138070,0.665789,0.527187,0.00000005
76,0.134573,0.664641,0.525677,0.00000005
77,0.131494,0.664364,0.525316,0.00000005
78,0.144152,0.664799,0.525889,0.00000002
79,0.133857,0.664503,0.525498,0.00000002
80,0.143847,0.664784,0.525858,0.00000002
81,0.141351,0.665399,0.526658,0.00000002
82,0.148499,0.665562,0.526853,0.00000002
83,0.136192,0.665471,0.526740,0.00000002
84,0.133861,0.664455,0.525417,0.00000001
85,0.153424,0.664352,0.525306,0.00000001
86,0.136626,0.664477,0.525468,0.00000001
87,0.124494,0.664640,0.525674,0.00000001
88,0.131324,0.664487,0.525462,0.00000001
89,0.152215,0.665320,0.526559,0.00000001
90,0.143063,0.664842,0.525934,0.00000001
91,0.131509,0.664475,0.525475,0.00000001
92,0.137231,0.664297,0.525230,0.00000001
93,0.126055,0.664789,0.525862,0.00000001
94,0.139689,0.663928,0.524761,0.00000001
95,0.130705,0.664574,0.525628,0.00000001
96,0.123353,0.664863,0.525968,0.00000001
97,0.147972,0.665303,0.526532,0.00000001
98,0.137473,0.664778,0.525848,0.00000001
99,0.136145,0.664206,0.525119,0.00000001
100,0.138045,0.664450,0.525442,0.00000001
1,1.348623,0.438943,0.293213,0.00010000,0
2,1.009451,0.510302,0.360014,0.00010000,0
3,0.780020,0.575337,0.427779,0.00010000,0
4,0.598799,0.690784,0.561308,0.00010000,0
5,0.472982,0.644620,0.507414,0.00010000,0
6,0.415008,0.668244,0.532795,0.00010000,0
7,0.361018,0.661100,0.523246,0.00010000,0
8,0.357750,0.634415,0.493412,0.00010000,0
9,0.300548,0.682751,0.547973,0.00010000,0
10,0.278833,0.673138,0.538389,0.00010000,0
11,0.286276,0.677546,0.542954,0.00010000,0
12,0.248562,0.687686,0.555446,0.00010000,0
13,0.252769,0.655978,0.516265,0.00010000,0
14,0.207212,0.659165,0.519170,0.00010000,0
15,0.217121,0.653636,0.514466,0.00010000,0
16,0.244518,0.657820,0.520239,0.00010000,0
17,0.240579,0.683050,0.550125,0.00010000,0
18,0.235648,0.679889,0.546916,0.00010000,0
19,0.192797,0.688970,0.556934,0.00010000,0
20,0.198705,0.681168,0.548291,0.00010000,0
21,0.199550,0.687217,0.553787,0.00010000,0
22,0.185652,0.682458,0.549453,0.00010000,0
23,0.164116,0.690381,0.559140,0.00010000,0
24,0.168180,0.670785,0.534626,0.00010000,0
25,0.173304,0.698848,0.570213,0.00010000,0
26,0.163526,0.683099,0.550462,0.00010000,0
27,0.163904,0.678874,0.544951,0.00010000,0
28,0.165318,0.686805,0.553416,0.00010000,0
29,0.179667,0.671470,0.536258,0.00010000,0
30,0.173481,0.655476,0.515659,0.00010000,0
31,0.157842,0.678147,0.545579,0.00010000,0
32,0.169557,0.660041,0.520840,0.00010000,0
33,0.166597,0.682805,0.551564,0.00010000,0
34,0.181392,0.665785,0.527619,0.00010000,0
35,0.167067,0.667825,0.530005,0.00010000,0
36,0.151363,0.679454,0.545630,0.00010000,0
37,0.143707,0.681593,0.549207,0.00010000,0
38,0.160169,0.684448,0.552551,0.00010000,0
39,0.147082,0.675959,0.541683,0.00010000,0
40,0.161813,0.683481,0.549345,0.00010000,0
41,0.128623,0.679520,0.544011,0.00010000,0
42,0.136398,0.684446,0.552150,0.00010000,0
43,0.134492,0.677449,0.542645,0.00010000,0
44,0.153050,0.675108,0.538985,0.00010000,0
45,0.143288,0.689285,0.558779,0.00010000,0
46,0.154184,0.689805,0.558334,0.00010000,0
47,0.154199,0.687972,0.555392,0.00010000,0
48,0.152872,0.664356,0.527647,0.00010000,0
49,0.130469,0.655374,0.515447,0.00010000,0
50,0.154544,0.664552,0.527179,0.00010000,0
51,0.154732,0.666720,0.529489,0.00010000,0
52,0.116957,0.670367,0.534755,0.00010000,0
53,0.132390,0.673932,0.538928,0.00010000,0
54,0.112020,0.683843,0.551891,0.00010000,0
55,0.104105,0.661501,0.522659,0.00010000,0
56,0.117201,0.668875,0.532548,0.00010000,0
57,0.110190,0.677941,0.544635,0.00010000,0
58,0.136601,0.659702,0.520883,0.00010000,0
59,0.134328,0.654901,0.513395,0.00010000,0
60,0.111264,0.675930,0.540068,0.00010000,0
61,0.101573,0.651031,0.511425,0.00010000,0
