epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.559555,0.588467,0.452385,0.00010000
2,1.466138,0.563001,0.426930,0.00010000
3,1.408101,0.614829,0.503408,0.00010000
4,1.351804,0.601569,0.477620,0.00010000
5,1.297715,0.509890,0.388109,0.00010000
6,1.244897,0.612971,0.491745,0.00010000
7,1.192692,0.670654,0.564732,0.00010000
8,1.142592,0.667299,0.564904,0.00010000
9,1.093077,0.682003,0.589923,0.00010000
10,1.043608,0.675955,0.562391,0.00010000
11,0.992369,0.635641,0.527359,0.00010000
12,0.943232,0.687803,0.586198,0.00010000
13,0.897384,0.668953,0.563876,0.00010000
14,0.852815,0.698266,0.591468,0.00010000
15,0.801892,0.649438,0.542444,0.00010000
16,0.756639,0.711171,0.613404,0.00010000
17,0.709413,0.704822,0.605440,0.00010000
18,0.664574,0.686161,0.572166,0.00010000
19,0.621957,0.713910,0.617910,0.00010000
20,0.575695,0.704433,0.606911,0.00010000
21,0.528749,0.712889,0.612939,0.00010000
22,0.493416,0.699171,0.599028,0.00010000
