epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.589277,0.356365,0.260782,0.00010000
2,1.491316,0.319395,0.227451,0.00010000
3,1.438610,0.640075,0.557890,0.00010000
4,1.387952,0.524716,0.435878,0.00010000
5,1.339596,0.611296,0.535510,0.00010000
6,1.291154,0.510701,0.424890,0.00010000
7,1.249517,0.667607,0.588619,0.00010000
8,1.201298,0.674287,0.595816,0.00010000
9,1.159059,0.618711,0.539498,0.00010000
10,1.114109,0.713080,0.640171,0.00010000
11,1.068617,0.488028,0.412678,0.00010000
12,1.024112,0.678920,0.608924,0.00010000
13,0.985270,0.668257,0.592989,0.00010000
14,0.946359,0.547904,0.470295,0.00010000
15,0.905315,0.536373,0.457401,0.00010000
16,0.872146,0.636929,0.564281,0.00005000
17,0.835197,0.620994,0.545920,0.00005000
18,0.813782,0.563800,0.485996,0.00005000
19,0.798874,0.613184,0.535640,0.00005000
20,0.778353,0.636709,0.560983,0.00005000
21,0.761488,0.662217,0.585462,0.00005000
22,0.743202,0.606990,0.527776,0.00002500
23,0.725135,0.642995,0.567897,0.00002500
24,0.714103,0.593006,0.516702,0.00002500
25,0.705843,0.642293,0.565559,0.00002500
26,0.697173,0.627668,0.553068,0.00002500
27,0.686762,0.644380,0.566375,0.00002500
28,0.674254,0.628103,0.552054,0.00001250
29,0.668078,0.647346,0.571306,0.00001250
30,0.665569,0.649410,0.572425,0.00001250
31,0.657090,0.638523,0.562558,0.00001250
32,0.659643,0.634589,0.557152,0.00001250
33,0.646567,0.643858,0.566529,0.00001250
34,0.649683,0.648619,0.571252,0.00000625
35,0.639072,0.659192,0.582655,0.00000625
36,0.636625,0.643162,0.567813,0.00000625
37,0.635816,0.665919,0.589154,0.00000625
38,0.636037,0.652125,0.575694,0.00000625
39,0.632714,0.649516,0.571653,0.00000625
40,0.630697,0.654721,0.576719,0.00000313
41,0.627272,0.658933,0.582353,0.00000313
42,0.626830,0.654565,0.576469,0.00000313
43,0.623373,0.662739,0.585538,0.00000313
44,0.626549,0.659931,0.583151,0.00000313
45,0.621762,0.662243,0.584915,0.00000313
46,0.620590,0.666643,0.588421,0.00000156
47,0.622116,0.668760,0.590553,0.00000156
48,0.619473,0.661561,0.583746,0.00000156
49,0.621137,0.671682,0.593429,0.00000156
50,0.621523,0.657980,0.580770,0.00000156
51,0.619222,0.661839,0.584214,0.00000156
52,0.619812,0.656967,0.578727,0.00000078
53,0.614739,0.663474,0.586422,0.00000078
54,0.617433,0.670175,0.592626,0.00000078
55,0.615203,0.672770,0.595286,0.00000078
56,0.616085,0.673712,0.596021,0.00000078
57,0.618505,0.657449,0.580022,0.00000078
58,0.613862,0.672880,0.595669,0.00000039
59,0.614873,0.668495,0.590235,0.00000039
60,0.613384,0.661868,0.584492,0.00000039
61,0.612824,0.673188,0.595933,0.00000039
62,0.613457,0.660167,0.582843,0.00000039
63,0.615408,0.672459,0.595926,0.00000039
64,0.614836,0.667915,0.590469,0.00000020
65,0.611834,0.670493,0.592824,0.00000020
66,0.616400,0.678016,0.600703,0.00000020
67,0.615646,0.664870,0.587810,0.00000020
68,0.613538,0.673170,0.596307,0.00000020
69,0.615215,0.661793,0.584091,0.00000020
70,0.616134,0.673173,0.595664,0.00000010
71,0.613355,0.658589,0.581249,0.00000010
72,0.613189,0.664490,0.586697,0.00000010
73,0.618823,0.667477,0.590842,0.00000010
74,0.615633,0.664795,0.586668,0.00000010
75,0.610005,0.669806,0.591770,0.00000010
76,0.617869,0.664379,0.587463,0.00000005
77,0.612089,0.666402,0.588580,0.00000005
78,0.619236,0.675815,0.597972,0.00000005
79,0.609597,0.687274,0.609933,0.00000005
80,0.614218,0.664685,0.586666,0.00000005
81,0.612423,0.666415,0.589008,0.00000005
82,0.611123,0.655515,0.577610,0.00000002
83,0.614115,0.666858,0.589176,0.00000002
84,0.615664,0.664264,0.587069,0.00000002
85,0.616464,0.668220,0.590162,0.00000002
86,0.613929,0.669831,0.591564,0.00000002
87,0.616184,0.670060,0.591649,0.00000002
88,0.615268,0.655275,0.577777,0.00000001
89,0.614594,0.659815,0.582416,0.00000001
90,0.612703,0.669000,0.591498,0.00000001
91,0.614979,0.669216,0.591717,0.00000001
92,0.611419,0.676543,0.598162,0.00000001
93,0.614065,0.667773,0.590301,0.00000001
94,0.612610,0.672776,0.595275,0.00000001
95,0.615397,0.668933,0.591308,0.00000001
96,0.612883,0.668910,0.591637,0.00000001
97,0.614101,0.667022,0.589021,0.00000001
98,0.615477,0.657335,0.580140,0.00000001
99,0.610791,0.667921,0.590555,0.00000001
100,0.613980,0.674054,0.596670,0.00000001
