epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.570037,0.248120,0.149292,0.00010000
2,1.344766,0.553412,0.414377,0.00010000
3,1.097820,0.651312,0.526054,0.00010000
4,0.839598,0.689017,0.581651,0.00010000
5,0.585298,0.699219,0.587527,0.00010000
6,0.394727,0.646012,0.526156,0.00010000
7,0.290109,0.650259,0.548129,0.00010000
8,0.253475,0.680407,0.572790,0.00010000
9,0.215966,0.698612,0.604767,0.00010000
10,0.202396,0.712415,0.608891,0.00010000
11,0.183919,0.686631,0.582969,0.00010000
12,0.179494,0.692996,0.583501,0.00010000
13,0.160648,0.677579,0.578959,0.00010000
14,0.169964,0.591961,0.502953,0.00010000
15,0.160142,0.692395,0.587468,0.00010000
16,0.142013,0.692382,0.587490,0.00005000
17,0.131823,0.698791,0.599726,0.00005000
18,0.121144,0.693459,0.594253,0.00005000
19,0.117279,0.708901,0.601078,0.00005000
20,0.119884,0.717879,0.614588,0.00005000
21,0.110858,0.704003,0.603999,0.00005000
22,0.107937,0.697531,0.598493,0.00005000
23,0.106142,0.681205,0.586233,0.00005000
24,0.106170,0.695446,0.592565,0.00005000
25,0.102115,0.703354,0.602347,0.00005000
26,0.100988,0.696419,0.594704,0.00002500
27,0.094955,0.709279,0.608425,0.00002500
28,0.092250,0.705828,0.606987,0.00002500
29,0.091161,0.690166,0.593782,0.00002500
30,0.088598,0.697145,0.596896,0.00002500
31,0.086501,0.694186,0.594320,0.00002500
32,0.086178,0.698359,0.600334,0.00001250
33,0.084874,0.697401,0.600867,0.00001250
34,0.083934,0.696442,0.599902,0.00001250
35,0.082298,0.698589,0.600178,0.00001250
36,0.083023,0.698353,0.600681,0.00001250
37,0.081639,0.687950,0.591160,0.00001250
38,0.080127,0.696284,0.596210,0.00000625
39,0.078909,0.697186,0.599336,0.00000625
40,0.078237,0.703473,0.603159,0.00000625
41,0.077076,0.696008,0.596718,0.00000625
42,0.076601,0.699533,0.599712,0.00000625
43,0.076288,0.698442,0.598790,0.00000625
44,0.075771,0.694007,0.595857,0.00000313
45,0.075198,0.697017,0.597858,0.00000313
46,0.075136,0.701015,0.601185,0.00000313
47,0.074730,0.698153,0.599580,0.00000313
48,0.073724,0.699672,0.600120,0.00000313
49,0.074302,0.698528,0.598210,0.00000313
50,0.074205,0.695719,0.597258,0.00000156
51,0.073595,0.697746,0.598426,0.00000156
52,0.074083,0.696196,0.596754,0.00000156
53,0.073611,0.701882,0.601687,0.00000156
54,0.075114,0.695427,0.596104,0.00000156
55,0.073363,0.694705,0.595662,0.00000156
56,0.073195,0.695222,0.596100,0.00000078
57,0.074420,0.694051,0.594924,0.00000078
58,0.072835,0.696545,0.596813,0.00000078
59,0.072956,0.696007,0.597441,0.00000078
60,0.072897,0.694952,0.596184,0.00000078
61,0.072825,0.692942,0.594397,0.00000078
62,0.072801,0.694456,0.595879,0.00000039
63,0.076882,0.695512,0.595986,0.00000039
64,0.072679,0.696328,0.596885,0.00000039
65,0.072758,0.693055,0.594464,0.00000039
66,0.072659,0.695642,0.596813,0.00000039
67,0.072623,0.697731,0.598539,0.00000039
68,0.072279,0.698441,0.598326,0.00000020
69,0.072757,0.694425,0.595303,0.00000020
70,0.072870,0.692434,0.593309,0.00000020
71,0.072372,0.695204,0.596717,0.00000020
72,0.072201,0.697235,0.597665,0.00000020
73,0.072231,0.700135,0.599820,0.00000020
74,0.075162,0.699967,0.599126,0.00000010
75,0.072470,0.697035,0.597362,0.00000010
76,0.072613,0.698018,0.598883,0.00000010
77,0.074002,0.698936,0.599227,0.00000010
78,0.071937,0.697426,0.598150,0.00000010
79,0.073111,0.695623,0.596087,0.00000010
80,0.072139,0.695812,0.596539,0.00000005
81,0.072072,0.700323,0.600767,0.00000005
82,0.072396,0.705466,0.604044,0.00000005
83,0.072786,0.697947,0.598109,0.00000005
84,0.072907,0.697596,0.598022,0.00000005
85,0.071893,0.702776,0.602725,0.00000005
86,0.075249,0.694610,0.594611,0.00000002
87,0.072180,0.695921,0.596677,0.00000002
88,0.071879,0.696331,0.596867,0.00000002
89,0.072316,0.698784,0.598456,0.00000002
90,0.072521,0.693360,0.594666,0.00000002
91,0.073194,0.699226,0.600081,0.00000002
92,0.072221,0.694729,0.595659,0.00000001
93,0.072646,0.695295,0.596195,0.00000001
94,0.072761,0.694477,0.595102,0.00000001
95,0.072494,0.698632,0.599445,0.00000001
96,0.071737,0.693369,0.594853,0.00000001
97,0.072167,0.693799,0.594548,0.00000001
98,0.071993,0.692920,0.593956,0.00000001
99,0.072708,0.699670,0.599429,0.00000001
100,0.071652,0.695821,0.596084,0.00000001
