epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.688788,0.052747,0.027834,0.00010000
2,1.431254,0.436251,0.320895,0.00010000
3,1.147449,0.474503,0.356479,0.00010000
4,0.890242,0.527418,0.402312,0.00010000
5,0.538900,0.604362,0.488339,0.00010000
6,0.325927,0.580928,0.452362,0.00010000
7,0.259352,0.655123,0.536258,0.00010000
8,0.220309,0.632007,0.514365,0.00010000
9,0.192725,0.608927,0.502602,0.00010000
10,0.178686,0.634717,0.521560,0.00010000
11,0.169409,0.623924,0.513820,0.00010000
12,0.156543,0.644618,0.536333,0.00010000
13,0.143985,0.670178,0.555448,0.00010000
14,0.142157,0.639080,0.528439,0.00010000
15,0.132773,0.630160,0.525205,0.00010000
16,0.124367,0.651744,0.547673,0.00010000
17,0.122052,0.618020,0.513307,0.00010000
18,0.114861,0.649746,0.542992,0.00010000
19,0.110889,0.661710,0.557279,0.00005000
20,0.099518,0.646382,0.541501,0.00005000
21,0.094291,0.673754,0.566088,0.00005000
22,0.089793,0.650015,0.543911,0.00005000
23,0.086678,0.638657,0.532549,0.00005000
24,0.084889,0.643062,0.541651,0.00005000
25,0.081854,0.648576,0.547462,0.00005000
26,0.084515,0.662292,0.555358,0.00005000
27,0.079097,0.640099,0.533343,0.00002500
28,0.074545,0.661654,0.553781,0.00002500
29,0.069674,0.655150,0.547187,0.00002500
30,0.067982,0.648205,0.542806,0.00002500
31,0.067812,0.656107,0.550768,0.00002500
32,0.066815,0.659407,0.555522,0.00002500
33,0.065983,0.661095,0.554588,0.00001250
34,0.063243,0.660457,0.555919,0.00001250
35,0.060851,0.656196,0.551613,0.00001250
36,0.059722,0.657457,0.550743,0.00001250
37,0.059121,0.653707,0.548019,0.00001250
38,0.058133,0.664223,0.556995,0.00001250
39,0.058383,0.653995,0.548693,0.00000625
40,0.057023,0.662214,0.555955,0.00000625
41,0.055860,0.654705,0.548743,0.00000625
42,0.055456,0.659856,0.553144,0.00000625
43,0.055232,0.655069,0.549021,0.00000625
44,0.055149,0.656105,0.550580,0.00000625
45,0.054765,0.653248,0.548295,0.00000313
46,0.053930,0.658155,0.550547,0.00000313
47,0.054098,0.650124,0.545356,0.00000313
48,0.053878,0.654596,0.549803,0.00000313
49,0.053287,0.652023,0.547250,0.00000313
50,0.052812,0.652972,0.547693,0.00000313
51,0.053188,0.653413,0.546566,0.00000156
