epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.631337,0.213756,0.134996,0.00010000
2,1.459407,0.330178,0.233730,0.00010000
3,1.280369,0.459952,0.367910,0.00010000
4,1.075317,0.589642,0.505638,0.00010000
5,0.944131,0.530376,0.442551,0.00010000
6,0.783771,0.590011,0.511041,0.00010000
7,0.714535,0.606493,0.523754,0.00010000
8,0.646105,0.529326,0.454021,0.00010000
9,0.597677,0.578597,0.501804,0.00010000
10,0.572909,0.628144,0.547552,0.00010000
11,0.547341,0.562377,0.483723,0.00010000
12,0.531545,0.575581,0.494959,0.00010000
13,0.519953,0.587367,0.503312,0.00010000
14,0.506942,0.615250,0.532543,0.00010000
15,0.490983,0.611278,0.528865,0.00010000
16,0.436209,0.610636,0.525821,0.00005000
17,0.316903,0.670697,0.591232,0.00005000
18,0.254051,0.666728,0.587559,0.00005000
19,0.223821,0.698423,0.620682,0.00005000
20,0.210788,0.665864,0.586695,0.00005000
21,0.205583,0.675302,0.594202,0.00005000
22,0.233352,0.622983,0.539897,0.00005000
23,0.195260,0.668313,0.589811,0.00005000
24,0.185101,0.659199,0.580360,0.00005000
25,0.180360,0.653299,0.570809,0.00002500
26,0.165209,0.653965,0.573500,0.00002500
27,0.160257,0.644041,0.561284,0.00002500
28,0.151889,0.661674,0.580779,0.00002500
29,0.146068,0.665593,0.583926,0.00002500
30,0.149990,0.664850,0.583785,0.00002500
31,0.146163,0.649486,0.567833,0.00001250
32,0.133636,0.657111,0.575766,0.00001250
33,0.135415,0.657974,0.577101,0.00001250
34,0.142404,0.661146,0.578744,0.00001250
35,0.134627,0.649185,0.566917,0.00001250
36,0.125096,0.654729,0.572958,0.00001250
37,0.139357,0.653356,0.570718,0.00000625
38,0.126567,0.650801,0.567629,0.00000625
39,0.128084,0.654221,0.571490,0.00000625
40,0.125618,0.654595,0.571919,0.00000625
41,0.125705,0.655418,0.573481,0.00000625
42,0.131466,0.653936,0.571412,0.00000625
43,0.127501,0.650082,0.568060,0.00000313
44,0.127341,0.639669,0.556882,0.00000313
45,0.123204,0.643966,0.561469,0.00000313
46,0.125902,0.641788,0.559891,0.00000313
47,0.122150,0.653579,0.571592,0.00000313
48,0.118393,0.648198,0.566703,0.00000313
49,0.129815,0.646412,0.564756,0.00000156
50,0.122386,0.644875,0.562792,0.00000156
51,0.116147,0.650343,0.568517,0.00000156
52,0.119667,0.650277,0.568748,0.00000156
53,0.122161,0.651101,0.568797,0.00000156
54,0.118730,0.645769,0.563486,0.00000156
55,0.120670,0.647332,0.564978,0.00000078
56,0.118740,0.648546,0.566753,0.00000078
57,0.120092,0.647607,0.565302,0.00000078
58,0.119796,0.641363,0.559617,0.00000078
59,0.124092,0.655852,0.573777,0.00000078
60,0.122436,0.645164,0.563456,0.00000078
61,0.123399,0.644282,0.562770,0.00000039
62,0.115623,0.646664,0.564632,0.00000039
63,0.120689,0.645834,0.563721,0.00000039
64,0.125167,0.652902,0.570583,0.00000039
65,0.121839,0.643964,0.562248,0.00000039
66,0.124445,0.655639,0.571596,0.00000039
67,0.126251,0.647920,0.565425,0.00000020
68,0.118903,0.643716,0.561658,0.00000020
69,0.128910,0.648396,0.566380,0.00000020
70,0.119018,0.644584,0.562243,0.00000020
71,0.125684,0.655819,0.573956,0.00000020
72,0.124432,0.645080,0.563158,0.00000020
73,0.121969,0.650190,0.568663,0.00000010
74,0.117643,0.645502,0.563868,0.00000010
75,0.114725,0.648507,0.566465,0.00000010
76,0.119105,0.650997,0.569054,0.00000010
77,0.117979,0.639822,0.557851,0.00000010
78,0.123720,0.646869,0.564773,0.00000010
79,0.118735,0.645146,0.562604,0.00000005
80,0.116197,0.646120,0.564330,0.00000005
81,0.116669,0.655561,0.573241,0.00000005
82,0.119966,0.647186,0.565120,0.00000005
83,0.117461,0.644450,0.562009,0.00000005
84,0.117083,0.648224,0.566215,0.00000005
85,0.117302,0.646578,0.565098,0.00000002
86,0.115080,0.643196,0.561480,0.00000002
87,0.117582,0.647788,0.565615,0.00000002
88,0.125411,0.646404,0.564119,0.00000002
89,0.115417,0.648054,0.565970,0.00000002
90,0.120529,0.643565,0.562103,0.00000002
91,0.116295,0.652200,0.570111,0.00000001
92,0.117120,0.649542,0.567390,0.00000001
93,0.120085,0.646707,0.564482,0.00000001
94,0.116707,0.648989,0.566521,0.00000001
95,0.130585,0.647568,0.565056,0.00000001
96,0.122400,0.648678,0.566665,0.00000001
97,0.121122,0.643254,0.561696,0.00000001
98,0.127280,0.650382,0.568259,0.00000001
99,0.121725,0.650550,0.568760,0.00000001
100,0.121670,0.644590,0.562415,0.00000001
