epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.696691,0.084086,0.047777,0.00010000
2,1.710496,0.000000,0.000000,0.00010000
3,0.000000,0.000000,0.000000,0.00010000
4,0.000000,0.000000,0.000000,0.00010000
5,0.000000,0.000000,0.000000,0.00010000
6,0.000000,0.000000,0.000000,0.00010000
7,0.000000,0.000000,0.000000,0.00005000
8,0.000000,0.000000,0.000000,0.00005000
9,0.000000,0.000000,0.000000,0.00005000
10,0.000000,0.000000,0.000000,0.00005000
11,0.000000,0.000000,0.000000,0.00005000
12,0.000000,0.000000,0.000000,0.00005000
13,0.000000,0.000000,0.000000,0.00002500
14,0.000000,0.000000,0.000000,0.00002500
15,0.000000,0.000000,0.000000,0.00002500
16,0.000000,0.000000,0.000000,0.00002500
17,0.000000,0.000000,0.000000,0.00002500
18,0.000000,0.000000,0.000000,0.00002500
19,0.000000,0.000000,0.000000,0.00001250
20,0.000000,0.000000,0.000000,0.00001250
21,0.000000,0.000000,0.000000,0.00001250
22,0.000000,0.000000,0.000000,0.00001250
23,0.000000,0.000000,0.000000,0.00001250
1,1.569124,0.292380,0.187086,0.00005000
2,1.547699,0.346772,0.230504,0.00005000
3,1.539385,0.381852,0.262986,0.00005000
