epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,nan,0.021319,0.011897,0.00010000
2,3.753797,0.051759,0.030274,0.00010000
3,3.519628,0.016278,0.008863,0.00010000
4,3.319156,0.023670,0.013511,0.00010000
5,nan,0.027138,0.014772,0.00010000
6,nan,0.021930,0.011310,0.00010000
7,nan,0.063835,0.035613,0.00010000
8,nan,0.018237,0.009383,0.00010000
1,1.761696,0.000000,0.000000,0.00005000
1,1.655730,0.082170,0.047719,0.00005000
2,1.619143,0.075938,0.044229,0.00005000
3,1.589327,0.153657,0.099275,0.00005000
4,1.561056,0.137031,0.083746,0.00005000
5,1.533872,0.165710,0.112734,0.00005000
6,1.507610,0.161563,0.109092,0.00005000
7,1.482252,0.187893,0.129716,0.00005000
8,1.458071,0.191623,0.136248,0.00005000
9,1.434884,0.258742,0.180677,0.00005000
10,1.412370,0.236271,0.164289,0.00005000
11,1.390664,0.325892,0.239061,0.00005000
12,1.369882,0.206198,0.148220,0.00005000
13,1.350128,0.264662,0.192370,0.00005000
14,1.330860,0.269121,0.197847,0.00005000
15,1.312379,0.247933,0.178717,0.00005000
16,1.294597,0.287448,0.214123,0.00005000
17,1.277513,0.145556,0.100628,0.00002500
18,1.264613,0.205471,0.154030,0.00002500
19,1.256211,0.307864,0.225976,0.00002500
20,1.248150,0.286031,0.204946,0.00002500
21,1.240305,0.256524,0.200327,0.00002500
22,1.232484,0.287651,0.211276,0.00002500
23,1.224937,0.229717,0.161354,0.00001250
24,1.218969,0.231344,0.164706,0.00001250
25,1.215138,0.203593,0.145599,0.00001250
26,1.211441,0.177451,0.126512,0.00001250
27,1.207765,0.240892,0.177457,0.00001250
28,1.204193,0.309545,0.228667,0.00001250
29,1.200553,0.283165,0.206756,0.00000625
30,1.197706,0.310448,0.234079,0.00000625
31,1.195860,0.230309,0.166144,0.00000625
32,1.194061,0.284926,0.209899,0.00000625
33,1.192274,0.274195,0.197366,0.00000625
34,1.190507,0.213860,0.155408,0.00000625
35,1.188763,0.247992,0.179184,0.00000313
36,1.187349,0.227898,0.163986,0.00000313
37,1.186437,0.231650,0.173958,0.00000313
38,1.185543,0.201309,0.148891,0.00000313
39,1.184674,0.237527,0.175069,0.00000313
