epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.619481,0.149767,0.089101,0.00010000
2,1.582949,0.296659,0.209980,0.00010000
3,1.576390,0.320059,0.231287,0.00010000
4,1.571306,0.396630,0.311757,0.00010000
5,1.563897,0.369685,0.280822,0.00010000
6,1.561987,0.349098,0.256547,0.00010000
7,1.553696,0.366443,0.277132,0.00010000
8,1.553621,0.367655,0.276032,0.00010000
9,1.551173,0.396813,0.309035,0.00010000
10,1.547695,0.410095,0.322709,0.00010000
11,1.542906,0.387031,0.299611,0.00010000
12,1.541559,0.414111,0.325431,0.00010000
13,1.535024,0.393924,0.305756,0.00010000
14,1.529048,0.388268,0.296406,0.00010000
15,1.527253,0.422409,0.337310,0.00010000
16,1.523644,0.438385,0.356226,0.00010000
17,1.522849,0.428386,0.343159,0.00010000
18,1.518665,0.431592,0.342497,0.00010000
19,1.516586,0.408878,0.320427,0.00010000
20,1.507529,0.422264,0.336214,0.00010000
21,1.507568,0.405899,0.317577,0.00010000
22,1.504214,0.429541,0.345910,0.00005000
23,1.500656,0.412172,0.324436,0.00005000
24,1.499438,0.445073,0.363309,0.00005000
25,1.496804,0.445665,0.364299,0.00005000
26,1.490350,0.453160,0.371826,0.00005000
27,1.491040,0.447660,0.365689,0.00005000
28,1.489568,0.439344,0.356752,0.00005000
29,1.489849,0.455735,0.376792,0.00005000
30,1.484574,0.458986,0.379849,0.00005000
31,1.482920,0.455058,0.374565,0.00005000
32,1.482936,0.452252,0.372709,0.00005000
33,1.482222,0.451327,0.370128,0.00005000
34,1.478054,0.453754,0.372891,0.00005000
35,1.478909,0.462161,0.382515,0.00005000
36,1.476695,0.461382,0.382208,0.00005000
37,1.476709,0.463930,0.385550,0.00005000
38,1.471780,0.441369,0.359297,0.00005000
39,1.472571,0.451743,0.369423,0.00005000
40,1.472314,0.459278,0.380148,0.00005000
41,1.471393,0.463169,0.384190,0.00005000
42,1.469954,0.464207,0.384063,0.00005000
43,1.465167,0.471328,0.391764,0.00005000
44,1.463705,0.460793,0.378512,0.00005000
45,1.466556,0.477748,0.395909,0.00005000
46,1.459766,0.455647,0.374592,0.00005000
47,1.460518,0.470646,0.390211,0.00005000
48,1.459459,0.464383,0.384032,0.00005000
49,1.460498,0.470171,0.389953,0.00005000
50,1.454054,0.458418,0.376236,0.00005000
51,1.453058,0.467154,0.386450,0.00002500
52,1.453723,0.485740,0.406124,0.00002500
53,1.453363,0.465514,0.384402,0.00002500
54,1.454768,0.466518,0.385474,0.00002500
55,1.452451,0.469997,0.389962,0.00002500
56,1.450263,0.466283,0.385506,0.00002500
57,1.451852,0.477583,0.396661,0.00002500
58,1.447714,0.466320,0.385009,0.00001250
59,1.446759,0.462318,0.380198,0.00001250
60,1.446330,0.464945,0.383260,0.00001250
61,1.445775,0.466605,0.385995,0.00001250
62,1.446489,0.463853,0.382747,0.00001250
63,1.446734,0.467360,0.386817,0.00001250
64,1.447176,0.464082,0.383199,0.00000625
65,1.445930,0.465422,0.384387,0.00000625
66,1.450047,0.466782,0.386056,0.00000625
67,1.445524,0.463565,0.382107,0.00000625
68,1.443600,0.466046,0.384824,0.00000625
69,1.443792,0.466859,0.385667,0.00000625
70,1.445266,0.466437,0.385320,0.00000313
71,1.442932,0.465826,0.384393,0.00000313
72,1.442477,0.465909,0.384702,0.00000313
73,1.445491,0.465652,0.384610,0.00000313
74,1.442777,0.464103,0.382579,0.00000313
75,1.442319,0.472058,0.391188,0.00000313
76,1.445300,0.466167,0.385229,0.00000156
77,1.442240,0.466536,0.385354,0.00000156
78,1.443990,0.466190,0.385223,0.00000156
79,1.441283,0.466237,0.384986,0.00000156
80,1.443130,0.464663,0.383065,0.00000156
81,1.440787,0.464797,0.383418,0.00000156
82,1.443211,0.465808,0.384754,0.00000078
83,1.442080,0.464348,0.382829,0.00000078
84,1.442506,0.465111,0.383998,0.00000078
85,1.444799,0.464488,0.383154,0.00000078
86,1.443354,0.464935,0.383511,0.00000078
87,1.442520,0.465033,0.383338,0.00000078
88,1.444869,0.465955,0.385217,0.00000039
89,1.448247,0.466759,0.386009,0.00000039
90,1.442971,0.464670,0.382891,0.00000039
91,1.444531,0.465425,0.384617,0.00000039
92,1.446544,0.465159,0.384060,0.00000039
93,1.443598,0.465565,0.384475,0.00000039
94,1.446615,0.465833,0.385354,0.00000020
95,1.441239,0.465682,0.384174,0.00000020
96,1.442196,0.465638,0.384374,0.00000020
97,1.441613,0.467161,0.386212,0.00000020
98,1.443627,0.465529,0.384567,0.00000020
99,1.441634,0.464759,0.382966,0.00000020
100,1.446156,0.465844,0.384912,0.00000010
