epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.507016,0.000000,0.000000,0.00010000
2,1.309695,0.000000,0.000000,0.00010000
3,1.167033,0.000000,0.000000,0.00010000
4,1.053734,0.305249,0.196706,0.00010000
5,0.939206,0.294223,0.196937,0.00010000
6,0.816353,0.312230,0.209308,0.00010000
7,0.717390,0.262805,0.168212,0.00010000
8,0.629646,0.345922,0.238634,0.00010000
9,0.577482,0.311578,0.208982,0.00010000
10,0.582560,0.350186,0.250038,0.00010000
11,0.477523,0.416488,0.300458,0.00010000
12,0.497643,0.399824,0.283929,0.00010000
13,0.471907,0.317103,0.215205,0.00010000
14,0.447585,0.357841,0.270013,0.00010000
15,0.409900,0.444797,0.318712,0.00010000
16,0.436677,0.384143,0.268106,0.00010000
17,0.459681,0.350288,0.240529,0.00010000
18,0.461867,0.332145,0.225171,0.00010000
19,0.545079,0.327659,0.220906,0.00010000
20,0.516491,0.321878,0.215095,0.00010000
21,0.523589,0.310028,0.204137,0.00005000
22,0.614314,0.009169,0.004618,0.00005000
23,1.642062,0.009169,0.004618,0.00005000
24,1.643549,0.009169,0.004618,0.00005000
25,1.643847,0.009169,0.004618,0.00005000
26,1.640317,0.009169,0.004618,0.00005000
27,1.642287,0.009169,0.004618,0.00002500
28,1.642867,0.009169,0.004618,0.00002500
29,1.645751,0.009169,0.004618,0.00002500
30,1.644218,0.009169,0.004618,0.00002500
31,1.641923,0.009169,0.004618,0.00002500
32,1.646998,0.009169,0.004618,0.00002500
33,1.646382,0.009169,0.004618,0.00001250
34,1.646053,0.009169,0.004618,0.00001250
35,1.643330,0.009169,0.004618,0.00001250
36,1.643318,0.009169,0.004618,0.00001250
37,1.643878,0.009169,0.004618,0.00001250
38,1.640104,0.009169,0.004618,0.00001250
39,1.645435,0.009169,0.004618,0.00000625
40,1.643484,0.009169,0.004618,0.00000625
41,1.642266,0.009169,0.004618,0.00000625
42,1.647058,0.009169,0.004618,0.00000625
43,1.642417,0.009169,0.004618,0.00000625
44,1.646778,0.009169,0.004618,0.00000625
45,1.645887,0.009169,0.004618,0.00000313
46,1.645429,0.009169,0.004618,0.00000313
47,1.645651,0.009169,0.004618,0.00000313
48,1.647806,0.009169,0.004618,0.00000313
49,1.644258,0.009169,0.004618,0.00000313
50,1.646747,0.009169,0.004618,0.00000313
51,1.648221,0.009169,0.004618,0.00000156
52,1.644470,0.009169,0.004618,0.00000156
53,1.646770,0.009169,0.004618,0.00000156
54,1.645936,0.009169,0.004618,0.00000156
1,1.148497,0.247854,0.152261,0.00010000,0
2,0.763044,0.263018,0.162055,0.00010000,0
3,0.726840,0.259472,0.160477,0.00010000,0
4,0.722000,0.282778,0.177740,0.00010000,0
5,0.661498,0.367282,0.247608,0.00010000,0
6,0.658774,0.352683,0.236007,0.00010000,0
7,0.660164,0.492901,0.377823,0.00010000,0
8,0.618840,0.367933,0.251050,0.00010000,0
9,0.724764,0.009169,0.004618,0.00010000,1
10,1.600075,0.009169,0.004618,0.00002000,1
11,1.606083,0.009169,0.004618,0.00002000,1
1,1.033508,0.244441,0.150367,0.00010000,0
2,0.677172,0.257920,0.158505,0.00010000,0
3,0.665035,0.276538,0.172951,0.00010000,0
4,0.650852,0.296469,0.188035,0.00010000,0
5,0.608742,0.110928,0.066162,0.00010000,0
6,0.623405,0.323102,0.212217,0.00010000,0
7,0.612755,0.502155,0.382628,0.00010000,0
8,0.544196,0.352354,0.237483,0.00010000,0
9,0.584192,0.400806,0.279085,0.00010000,0
10,0.734613,0.147826,0.083629,0.00010000,0
11,0.783449,0.136693,0.076597,0.00010000,0
12,0.843115,0.146420,0.082726,0.00010000,0
13,0.802354,0.149735,0.084828,0.00010000,0
14,0.833030,0.133806,0.074810,0.00010000,0
15,0.811877,0.147641,0.083495,0.00010000,0
16,0.813287,0.140705,0.079112,0.00005000,0
17,0.810310,0.140946,0.079256,0.00005000,0
18,0.822801,0.138639,0.077819,0.00005000,0
19,0.846377,0.143440,0.080833,0.00005000,0
20,1.254352,0.009169,0.004618,0.00005000,1
21,1.610738,0.009169,0.004618,0.00002000,1
22,1.606068,0.009169,0.004618,0.00002000,1
1,0.988858,0.138754,0.078326,0.00010000,0
2,0.703469,0.198835,0.118653,0.00010000,0
3,1.267234,0.009169,0.004618,0.00010000,0
