epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.064018,0.578484,0.430914,0.00010000
2,0.528265,0.631391,0.490469,0.00010000
3,0.484888,0.554951,0.405940,0.00010000
4,0.443791,0.571969,0.424877,0.00010000
5,0.474366,0.567731,0.420002,0.00010000
6,0.450202,0.000000,0.000000,0.00010000
7,0.000000,0.000000,0.000000,0.00010000
8,0.000000,0.000000,0.000000,0.00005000
9,0.000000,0.000000,0.000000,0.00005000
10,0.000000,0.000000,0.000000,0.00005000
11,0.000000,0.000000,0.000000,0.00005000
12,0.000000,0.000000,0.000000,0.00005000
13,0.000000,0.000000,0.000000,0.00005000
14,0.000000,0.000000,0.000000,0.00002500
15,0.000000,0.000000,0.000000,0.00002500
16,0.000000,0.000000,0.000000,0.00002500
17,0.000000,0.000000,0.000000,0.00002500
18,0.000000,0.000000,0.000000,0.00002500
19,0.000000,0.000000,0.000000,0.00002500
20,0.000000,0.000000,0.000000,0.00001250
21,0.000000,0.000000,0.000000,0.00001250
22,0.000000,0.000000,0.000000,0.00001250
23,0.000000,0.000000,0.000000,0.00001250
24,0.000000,0.000000,0.000000,0.00001250
25,0.000000,0.000000,0.000000,0.00001250
26,0.000000,0.000000,0.000000,0.00000625
27,0.000000,0.000000,0.000000,0.00000625
28,0.000000,0.000000,0.000000,0.00000625
29,0.000000,0.000000,0.000000,0.00000625
30,0.000000,0.000000,0.000000,0.00000625
31,0.000000,0.000000,0.000000,0.00000625
32,0.000000,0.000000,0.000000,0.00000313
33,0.000000,0.000000,0.000000,0.00000313
34,0.000000,0.000000,0.000000,0.00000313
35,0.000000,0.000000,0.000000,0.00000313
36,0.000000,0.000000,0.000000,0.00000313
37,0.000000,0.000000,0.000000,0.00000313
38,0.000000,0.000000,0.000000,0.00000156
39,0.000000,0.000000,0.000000,0.00000156
40,0.000000,0.000000,0.000000,0.00000156
41,0.000000,0.000000,0.000000,0.00000156
42,0.000000,0.000000,0.000000,0.00000156
43,0.000000,0.000000,0.000000,0.00000156
44,0.000000,0.000000,0.000000,0.00000078
45,0.000000,0.000000,0.000000,0.00000078
46,0.000000,0.000000,0.000000,0.00000078
47,0.000000,0.000000,0.000000,0.00000078
1,1.446190,0.000000,0.000000,0.00002000
2,1.159951,0.563852,0.417960,0.00002000
3,0.933140,0.519222,0.372228,0.00002000
4,0.732508,0.683011,0.554009,0.00002000
5,0.596760,0.624001,0.486995,0.00002000
6,0.465283,0.690619,0.564402,0.00002000
7,0.431684,0.687136,0.559028,0.00002000
8,0.386446,0.665912,0.537018,0.00002000
9,0.339840,0.657097,0.526176,0.00002000
10,0.329704,0.681458,0.551043,0.00002000
11,0.299092,0.689146,0.562431,0.00002000
12,0.279383,0.637793,0.501072,0.00001000
13,0.251768,0.669260,0.538358,0.00001000
14,0.260135,0.657364,0.525116,0.00001000
15,0.232700,0.678630,0.550711,0.00001000
16,0.234215,0.656508,0.521630,0.00001000
17,0.224711,0.679108,0.550432,0.00001000
18,0.219861,0.667013,0.536762,0.00000500
19,0.234155,0.654731,0.521510,0.00000500
20,0.221201,0.659954,0.528135,0.00000500
21,0.208591,0.662603,0.530555,0.00000500
22,0.218992,0.652936,0.520524,0.00000500
23,0.217583,0.648615,0.515477,0.00000500
24,0.197065,0.647547,0.513957,0.00000250
25,0.201226,0.651281,0.518583,0.00000250
26,0.192561,0.650438,0.517111,0.00000250
27,0.189132,0.654197,0.520891,0.00000250
28,0.193805,0.656558,0.523997,0.00000250
29,0.188552,0.651959,0.518905,0.00000250
30,0.188326,0.653566,0.521051,0.00000125
31,0.179457,0.644292,0.509617,0.00000125
32,0.187205,0.646440,0.512610,0.00000125
33,0.178794,0.644123,0.510283,0.00000125
34,0.169837,0.645570,0.511096,0.00000125
35,0.197794,0.647314,0.512859,0.00000125
36,0.180881,0.652782,0.519746,0.00000063
37,0.184133,0.647342,0.513673,0.00000063
38,0.165928,0.646518,0.512782,0.00000063
39,0.184874,0.647757,0.514022,0.00000063
40,0.168992,0.644665,0.510325,0.00000063
41,0.190060,0.643569,0.508844,0.00000063
42,0.166958,0.646831,0.513321,0.00000031
43,0.187693,0.646916,0.513332,0.00000031
44,0.195802,0.646465,0.512628,0.00000031
45,0.189567,0.645723,0.511467,0.00000031
46,0.194930,0.646672,0.513007,0.00000031
47,0.192830,0.641607,0.506554,0.00000031
48,0.172945,0.645323,0.511880,0.00000016
49,0.170743,0.643059,0.508852,0.00000016
50,0.189177,0.644227,0.510170,0.00000016
51,0.184850,0.645267,0.511499,0.00000016
52,0.194719,0.645716,0.512230,0.00000016
53,0.165505,0.645262,0.511078,0.00000016
54,0.175217,0.646410,0.512703,0.00000008
55,0.179397,0.646454,0.512648,0.00000008
56,0.184637,0.645479,0.511501,0.00000008
57,0.172523,0.647692,0.514394,0.00000008
58,0.162431,0.645931,0.512164,0.00000008
59,0.169016,0.644702,0.510527,0.00000008
60,0.171045,0.645972,0.512229,0.00000004
61,0.211439,0.646024,0.512277,0.00000004
62,0.181406,0.646584,0.512919,0.00000004
63,0.180209,0.644993,0.510941,0.00000004
64,0.173861,0.643021,0.508164,0.00000004
65,0.182324,0.644599,0.510312,0.00000004
66,0.185854,0.646039,0.512138,0.00000002
67,0.201524,0.645256,0.511203,0.00000002
68,0.167036,0.645546,0.511849,0.00000002
69,0.179224,0.645308,0.511337,0.00000002
70,0.184846,0.645910,0.512192,0.00000002
71,0.179803,0.645085,0.511145,0.00000002
72,0.186070,0.645473,0.511682,0.00000002
73,0.186916,0.645975,0.512064,0.00000002
74,0.188242,0.644650,0.510552,0.00000002
75,0.185186,0.646153,0.512339,0.00000002
76,0.189175,0.645712,0.511691,0.00000002
77,0.179621,0.646231,0.512514,0.00000002
78,0.170616,0.647531,0.514101,0.00000002
79,0.185209,0.645163,0.510998,0.00000002
80,0.177584,0.643893,0.509701,0.00000002
81,0.179726,0.644001,0.509914,0.00000002
82,0.172554,0.645211,0.511046,0.00000002
83,0.172942,0.647527,0.513932,0.00000002
84,0.185581,0.645769,0.512015,0.00000002
85,0.181329,0.645493,0.511585,0.00000002
86,0.169147,0.644553,0.510156,0.00000002
87,0.185539,0.645943,0.512232,0.00000002
88,0.185772,0.645175,0.510956,0.00000002
89,0.160529,0.645305,0.511194,0.00000002
90,0.184840,0.646536,0.512899,0.00000002
91,0.175242,0.646436,0.512623,0.00000002
92,0.167534,0.646526,0.512994,0.00000002
93,0.189532,0.645039,0.511133,0.00000002
94,0.174560,0.646216,0.512630,0.00000002
95,0.174649,0.643996,0.509739,0.00000002
96,0.165681,0.644269,0.510056,0.00000002
97,0.199525,0.646097,0.512293,0.00000002
98,0.184621,0.646009,0.512117,0.00000002
99,0.179750,0.646660,0.513106,0.00000002
100,0.174202,0.644515,0.510314,0.00000002
