epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.075396,0.690843,0.577748,0.00010000
2,0.901125,0.664482,0.559556,0.00010000
3,0.769400,0.675075,0.560333,0.00010000
4,0.642277,0.697152,0.590419,0.00010000
5,0.525557,0.565475,0.472812,0.00010000
6,0.428389,0.671718,0.577354,0.00010000
7,0.370067,0.688311,0.588272,0.00010000
8,0.321465,0.653080,0.543864,0.00010000
9,0.296969,0.688331,0.582993,0.00010000
10,0.272118,0.708392,0.605505,0.00010000
11,0.253644,0.665407,0.562962,0.00010000
12,0.239506,0.659415,0.561133,0.00010000
13,0.228308,0.642075,0.549122,0.00010000
14,0.206674,0.664843,0.571230,0.00010000
15,0.214631,0.686796,0.586479,0.00010000
16,0.207110,0.660700,0.576663,0.00005000
17,0.179700,0.674592,0.583160,0.00005000
18,0.174803,0.691813,0.596712,0.00005000
19,0.171741,0.680621,0.588654,0.00005000
20,0.167810,0.699864,0.601720,0.00005000
21,0.167891,0.676396,0.584435,0.00005000
22,0.163108,0.670272,0.584590,0.00002500
23,0.151330,0.682283,0.599375,0.00002500
24,0.145571,0.666164,0.580578,0.00002500
25,0.142403,0.655599,0.572161,0.00002500
26,0.138180,0.674113,0.582736,0.00002500
27,0.138964,0.672272,0.588426,0.00002500
28,0.135645,0.674366,0.583142,0.00001250
29,0.128621,0.659242,0.570262,0.00001250
30,0.126468,0.663467,0.573140,0.00001250
31,0.126850,0.664322,0.571659,0.00001250
32,0.123435,0.664937,0.578789,0.00001250
33,0.122275,0.660200,0.568591,0.00001250
34,0.121937,0.656620,0.572407,0.00000625
35,0.117219,0.660055,0.571750,0.00000625
36,0.115883,0.652324,0.565044,0.00000625
37,0.115278,0.657273,0.571030,0.00000625
38,0.115511,0.658826,0.573346,0.00000625
39,0.113760,0.654541,0.568799,0.00000625
40,0.113350,0.651039,0.564360,0.00000313
41,0.112623,0.652138,0.566448,0.00000313
42,0.111454,0.650600,0.565318,0.00000313
43,0.111195,0.651338,0.564529,0.00000313
44,0.110952,0.650086,0.565005,0.00000313
45,0.111571,0.648890,0.561462,0.00000313
46,0.109834,0.644969,0.560009,0.00000156
47,0.108978,0.641755,0.556487,0.00000156
48,0.109114,0.647392,0.561944,0.00000156
49,0.108886,0.653116,0.566818,0.00000156
50,0.108635,0.649755,0.563549,0.00000156
51,0.108193,0.650875,0.565222,0.00000156
52,0.108496,0.651560,0.564744,0.00000078
53,0.108004,0.649479,0.563056,0.00000078
54,0.107931,0.648611,0.562444,0.00000078
55,0.107604,0.647946,0.562974,0.00000078
56,0.106835,0.648979,0.562581,0.00000078
57,0.107275,0.645792,0.560644,0.00000078
58,0.107272,0.646106,0.560988,0.00000039
59,0.107169,0.647251,0.562014,0.00000039
60,0.107150,0.650774,0.564536,0.00000039
61,0.106772,0.654779,0.567623,0.00000039
62,0.106378,0.644752,0.559815,0.00000039
63,0.106853,0.648471,0.562123,0.00000039
64,0.107247,0.653984,0.566835,0.00000020
65,0.106544,0.652023,0.565809,0.00000020
66,0.106300,0.648287,0.562539,0.00000020
67,0.106872,0.648434,0.562308,0.00000020
68,0.107190,0.650028,0.564503,0.00000020
69,0.107108,0.653762,0.566586,0.00000020
70,0.106686,0.651472,0.565128,0.00000010
71,0.106556,0.650815,0.564366,0.00000010
72,0.106412,0.651326,0.564193,0.00000010
73,0.106716,0.647913,0.562079,0.00000010
74,0.106743,0.647313,0.561528,0.00000010
75,0.106007,0.647435,0.562985,0.00000010
76,0.105896,0.650468,0.563229,0.00000005
77,0.106409,0.647722,0.562044,0.00000005
78,0.106091,0.648334,0.562622,0.00000005
79,0.106156,0.648385,0.562144,0.00000005
80,0.107006,0.646207,0.560185,0.00000005
81,0.106178,0.652620,0.566347,0.00000005
82,0.106801,0.649347,0.563324,0.00000002
83,0.106407,0.649768,0.563544,0.00000002
84,0.106496,0.649286,0.562808,0.00000002
85,0.106581,0.644179,0.558729,0.00000002
86,0.105998,0.648988,0.562335,0.00000002
87,0.106344,0.646582,0.560421,0.00000002
88,0.106490,0.651709,0.564692,0.00000001
89,0.106811,0.646145,0.560159,0.00000001
90,0.106344,0.651324,0.563805,0.00000001
91,0.107014,0.651344,0.565017,0.00000001
92,0.106278,0.645891,0.560388,0.00000001
93,0.106213,0.649593,0.563419,0.00000001
94,0.106797,0.646485,0.561316,0.00000001
95,0.105619,0.652068,0.565913,0.00000001
96,0.105845,0.649471,0.563053,0.00000001
97,0.106108,0.650162,0.563965,0.00000001
98,0.106002,0.644098,0.559355,0.00000001
99,0.107117,0.647513,0.562023,0.00000001
100,0.106441,0.649624,0.563068,0.00000001
