epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.172594,0.471135,0.354527,0.00010000
2,1.040777,0.542804,0.433079,0.00010000
3,0.947212,0.546543,0.434872,0.00010000
4,0.818805,0.532235,0.425099,0.00010000
5,0.627272,0.555419,0.448932,0.00010000
6,0.455901,0.575133,0.474121,0.00010000
7,0.384505,0.595338,0.482368,0.00010000
8,0.311212,0.603734,0.500167,0.00010000
9,0.282676,0.542282,0.451416,0.00010000
10,0.267414,0.617685,0.517427,0.00010000
11,0.247154,0.623112,0.520750,0.00010000
12,0.241581,0.630422,0.524283,0.00010000
13,0.222943,0.612344,0.512056,0.00010000
14,0.219782,0.650302,0.547956,0.00010000
15,0.233378,0.618613,0.507223,0.00010000
16,0.223720,0.611607,0.518062,0.00010000
17,0.207991,0.634324,0.536269,0.00010000
18,0.206290,0.630860,0.528697,0.00010000
19,0.194434,0.602086,0.503711,0.00010000
20,0.188994,0.615956,0.522538,0.00005000
21,0.172328,0.605787,0.515389,0.00005000
22,0.161538,0.618784,0.523357,0.00005000
23,0.158629,0.549267,0.466538,0.00005000
24,0.153071,0.601337,0.509897,0.00005000
25,0.144662,0.589296,0.496091,0.00005000
26,0.143054,0.599710,0.504176,0.00002500
27,0.131892,0.618055,0.521666,0.00002500
28,0.132047,0.614294,0.518577,0.00002500
29,0.125539,0.586830,0.496684,0.00002500
30,0.124591,0.596331,0.503634,0.00002500
31,0.120450,0.604708,0.508566,0.00002500
32,0.117137,0.595250,0.504164,0.00001250
33,0.112516,0.606742,0.512565,0.00001250
34,0.110212,0.591614,0.500077,0.00001250
35,0.108510,0.591887,0.500262,0.00001250
36,0.107563,0.592306,0.499197,0.00001250
37,0.105134,0.596030,0.503669,0.00001250
38,0.104534,0.594798,0.499301,0.00000625
39,0.101395,0.585264,0.494255,0.00000625
40,0.100114,0.575412,0.486629,0.00000625
41,0.099193,0.588658,0.497652,0.00000625
42,0.098466,0.586669,0.495995,0.00000625
43,0.097735,0.596005,0.500834,0.00000625
44,0.096597,0.586972,0.493817,0.00000313
