epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.141697,0.416135,0.325323,0.00010000
2,0.978455,0.469099,0.383505,0.00010000
3,0.873571,0.610832,0.531264,0.00010000
4,0.785609,0.616266,0.534160,0.00010000
5,0.716241,0.540115,0.462580,0.00010000
6,0.663626,0.578920,0.497032,0.00010000
7,0.627146,0.554631,0.460570,0.00010000
8,0.598542,0.445088,0.361432,0.00010000
9,0.591925,0.613129,0.531777,0.00010000
10,0.563278,0.608801,0.529064,0.00005000
11,0.541702,0.607459,0.528675,0.00005000
12,0.531280,0.661227,0.581136,0.00005000
13,0.522773,0.646851,0.564189,0.00005000
14,0.513145,0.587436,0.505352,0.00005000
15,0.509496,0.594776,0.511339,0.00005000
16,0.499913,0.618220,0.536084,0.00005000
17,0.496778,0.576652,0.496554,0.00005000
18,0.496230,0.638422,0.559735,0.00002500
19,0.480215,0.638746,0.557311,0.00002500
20,0.476393,0.580302,0.498841,0.00002500
21,0.467384,0.638185,0.555289,0.00002500
22,0.462765,0.624241,0.541752,0.00002500
23,0.447380,0.645105,0.565285,0.00002500
24,0.426060,0.668245,0.591396,0.00002500
25,0.391045,0.659661,0.579947,0.00002500
26,0.375312,0.662752,0.584610,0.00002500
27,0.360687,0.673874,0.593597,0.00002500
28,0.317671,0.658104,0.577515,0.00002500
29,0.314400,0.639569,0.553702,0.00002500
30,0.295072,0.651354,0.566525,0.00002500
31,0.278927,0.656770,0.573155,0.00002500
32,0.283677,0.672549,0.590669,0.00002500
33,0.277985,0.654556,0.572877,0.00001250
34,0.249153,0.672373,0.591465,0.00001250
35,0.238430,0.631834,0.547878,0.00001250
36,0.233462,0.648803,0.563254,0.00001250
37,0.226121,0.652694,0.568619,0.00001250
38,0.207261,0.652174,0.567902,0.00001250
39,0.212340,0.649949,0.566146,0.00000625
40,0.207981,0.652890,0.570237,0.00000625
41,0.203587,0.655000,0.572429,0.00000625
42,0.204036,0.657994,0.576214,0.00000625
43,0.191583,0.655359,0.572398,0.00000625
44,0.191837,0.663690,0.581176,0.00000625
45,0.199475,0.663868,0.579835,0.00000313
46,0.182492,0.658237,0.576277,0.00000313
47,0.187424,0.652693,0.570656,0.00000313
48,0.193400,0.652006,0.569405,0.00000313
49,0.179480,0.657038,0.574577,0.00000313
50,0.180644,0.656109,0.573367,0.00000313
51,0.177269,0.656657,0.573919,0.00000156
52,0.178249,0.659794,0.576586,0.00000156
53,0.178930,0.656983,0.574714,0.00000156
54,0.172451,0.664299,0.581447,0.00000156
55,0.176705,0.653405,0.569843,0.00000156
56,0.171320,0.663788,0.580725,0.00000156
57,0.168569,0.658208,0.574819,0.00000078
58,0.169632,0.655860,0.573195,0.00000078
59,0.167867,0.659536,0.576600,0.00000078
60,0.165657,0.655167,0.572245,0.00000078
61,0.169413,0.657623,0.574114,0.00000078
62,0.177780,0.656071,0.573592,0.00000078
63,0.174952,0.656306,0.573932,0.00000039
64,0.162715,0.659237,0.576280,0.00000039
65,0.173852,0.659078,0.576055,0.00000039
66,0.169360,0.658922,0.575738,0.00000039
67,0.167713,0.660093,0.577358,0.00000039
68,0.174536,0.660268,0.577514,0.00000039
69,0.169531,0.660938,0.578235,0.00000020
70,0.169843,0.659171,0.576062,0.00000020
71,0.170651,0.659205,0.576373,0.00000020
72,0.165346,0.661074,0.578538,0.00000020
73,0.168637,0.663462,0.580297,0.00000020
74,0.171022,0.657594,0.573855,0.00000020
75,0.170190,0.660005,0.577003,0.00000010
76,0.168117,0.659220,0.576126,0.00000010
77,0.164969,0.659729,0.576788,0.00000010
78,0.167457,0.660750,0.577968,0.00000010
79,0.168359,0.659617,0.576601,0.00000010
80,0.170112,0.655697,0.573050,0.00000010
81,0.164265,0.661493,0.578980,0.00000005
82,0.167602,0.655967,0.573361,0.00000005
83,0.165995,0.656391,0.573953,0.00000005
84,0.169349,0.658541,0.575336,0.00000005
85,0.167810,0.660713,0.578162,0.00000005
86,0.171768,0.654039,0.570819,0.00000005
87,0.177556,0.662006,0.580163,0.00000002
88,0.172307,0.654809,0.571833,0.00000002
89,0.167191,0.657130,0.573324,0.00000002
90,0.162971,0.660617,0.578130,0.00000002
91,0.173897,0.655078,0.572045,0.00000002
92,0.167465,0.659535,0.576419,0.00000002
93,0.165477,0.653023,0.569330,0.00000001
94,0.163833,0.659627,0.576785,0.00000001
95,0.167548,0.661959,0.579921,0.00000001
96,0.165895,0.653534,0.569836,0.00000001
97,0.159770,0.655282,0.572420,0.00000001
98,0.166513,0.658365,0.574940,0.00000001
99,0.164655,0.662346,0.580407,0.00000001
100,0.166956,0.662126,0.580003,0.00000001
