epoch,train_loss,val_mean_dice,val_mean_iou,lr,collapse_guard
1,1.359353,0.144683,0.088278,0.00010000,0
2,1.196900,0.236827,0.153407,0.00010000,0
3,1.111308,0.327016,0.230787,0.00010000,0
4,1.043100,0.285026,0.208026,0.00010000,0
5,0.980349,0.362323,0.261697,0.00010000,0
6,0.910752,0.287199,0.198439,0.00010000,0
7,0.806854,0.366962,0.264436,0.00010000,0
8,0.690150,0.352382,0.258590,0.00010000,0
9,0.570649,0.308067,0.227999,0.00010000,0
10,0.483424,0.341671,0.256042,0.00010000,0
11,0.419465,0.218071,0.174152,0.00010000,0
12,0.378760,0.366440,0.274972,0.00010000,0
13,0.345308,0.375860,0.280198,0.00010000,0
14,0.330215,0.273584,0.213307,0.00010000,0
15,0.300880,0.264368,0.219281,0.00010000,0
16,0.280400,0.270000,0.200658,0.00010000,0
17,0.282944,0.341603,0.267598,0.00010000,0
18,0.264971,0.388784,0.298194,0.00010000,0
19,0.258040,0.274244,0.219769,0.00010000,0
20,0.241683,0.294692,0.233418,0.00010000,0
21,0.218478,0.285921,0.223919,0.00010000,0
22,0.249596,0.283136,0.226579,0.00010000,0
23,0.228985,0.287758,0.226336,0.00010000,0
24,0.228606,0.265141,0.213777,0.00005000,0
25,0.196470,0.245307,0.198626,0.00005000,0
26,0.178072,0.260844,0.207491,0.00005000,0
27,0.171392,0.226467,0.185021,0.00005000,0
28,0.159425,0.197662,0.161773,0.00005000,0
29,0.154291,0.237915,0.194317,0.00005000,0
30,0.150188,0.219826,0.174679,0.00002500,0
31,0.138559,0.238329,0.195222,0.00002500,0
32,0.131286,0.210912,0.173701,0.00002500,0
33,0.129480,0.224878,0.184472,0.00002500,0
34,0.128320,0.220564,0.177026,0.00002500,0
35,0.121658,0.223390,0.179898,0.00002500,0
36,0.118557,0.215822,0.172885,0.00001250,0
37,0.114030,0.216704,0.173484,0.00001250,0
38,0.112596,0.209363,0.168161,0.00001250,0
39,0.109449,0.207843,0.168217,0.00001250,0
40,0.107989,0.214870,0.175027,0.00001250,0
41,0.107478,0.214332,0.170930,0.00001250,0
42,0.103818,0.206897,0.164945,0.00000625,0
43,0.100384,0.201528,0.161693,0.00000625,0
44,0.099463,0.200575,0.161631,0.00000625,0
45,0.098281,0.201148,0.161606,0.00000625,0
46,0.096745,0.198737,0.160483,0.00000625,0
1,1.345119,0.252859,0.155902,0.00010000,0
2,1.179844,0.364546,0.244337,0.00010000,0
3,1.088882,0.423280,0.293096,0.00010000,0
4,1.017404,0.423631,0.307689,0.00010000,0
5,0.947189,0.436726,0.309744,0.00010000,0
6,0.853620,0.523456,0.415821,0.00010000,0
7,0.716727,0.503389,0.388178,0.00010000,0
8,0.556136,0.562055,0.454634,0.00010000,0
9,0.431093,0.586391,0.473392,0.00010000,0
10,0.365905,0.583054,0.475493,0.00010000,0
11,0.321516,0.561972,0.457055,0.00010000,0
12,0.294326,0.554777,0.445254,0.00010000,0
13,0.288294,0.568688,0.463679,0.00010000,0
14,0.267648,0.556889,0.460338,0.00010000,0
15,0.256396,0.576895,0.469633,0.00005000,0
16,0.239906,0.583636,0.477998,0.00005000,0
17,0.227932,0.570892,0.463610,0.00005000,0
18,0.218064,0.575190,0.472306,0.00005000,0
19,0.215173,0.558334,0.456019,0.00005000,0
20,0.208529,0.580931,0.476500,0.00005000,0
21,0.195351,0.569998,0.465609,0.00002500,0
22,0.186395,0.554704,0.457180,0.00002500,0
23,0.180398,0.568380,0.464490,0.00002500,0
24,0.175167,0.552840,0.454449,0.00002500,0
25,0.172462,0.561013,0.460039,0.00002500,0
26,0.167914,0.549556,0.448388,0.00002500,0
27,0.165305,0.564131,0.460135,0.00001250,0
28,0.160109,0.545398,0.447736,0.00001250,0
29,0.156388,0.567847,0.463126,0.00001250,0
30,0.153105,0.569086,0.465543,0.00001250,0
31,0.150584,0.557986,0.456909,0.00001250,0
32,0.147880,0.566905,0.461195,0.00001250,0
33,0.147307,0.556580,0.457665,0.00000625,0
34,0.142856,0.556655,0.456235,0.00000625,0
35,0.141232,0.551595,0.451564,0.00000625,0
36,0.139276,0.546498,0.446148,0.00000625,0
37,0.138098,0.553177,0.451699,0.00000625,0
38,0.137443,0.550899,0.448699,0.00000625,0
39,0.135613,0.549510,0.448291,0.00000313,0
40,0.133687,0.545989,0.446496,0.00000313,0
41,0.132458,0.548879,0.448396,0.00000313,0
42,0.131888,0.550142,0.448874,0.00000313,0
