epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.231705,0.470134,0.336433,0.00010000
2,0.978074,0.564264,0.433731,0.00010000
3,0.773244,0.474965,0.345838,0.00010000
4,0.619876,0.604988,0.473539,0.00010000
5,0.524821,0.581329,0.440842,0.00010000
6,0.453639,0.526793,0.391457,0.00010000
7,0.407906,0.611411,0.477217,0.00010000
8,0.379036,0.447304,0.322082,0.00010000
9,0.362805,0.612066,0.473394,0.00010000
10,0.337157,0.602646,0.472719,0.00010000
11,0.321640,0.591730,0.450640,0.00010000
12,0.303928,0.594099,0.468357,0.00010000
13,0.291335,0.619414,0.484495,0.00010000
14,0.289985,0.626047,0.505701,0.00010000
15,0.273182,0.630203,0.499434,0.00010000
16,0.254457,0.603722,0.474334,0.00010000
17,0.272914,0.539660,0.421012,0.00010000
18,0.254476,0.635384,0.508143,0.00010000
19,0.234677,0.589844,0.448891,0.00010000
20,0.230367,0.610676,0.471080,0.00010000
21,0.233058,0.621441,0.487100,0.00010000
22,0.222347,0.614623,0.489445,0.00010000
23,0.216118,0.611399,0.485186,0.00010000
24,0.216717,0.617244,0.488664,0.00005000
25,0.204626,0.590244,0.463706,0.00005000
26,0.198104,0.606430,0.474981,0.00005000
27,0.185916,0.621391,0.489282,0.00005000
28,0.180615,0.628645,0.499185,0.00005000
29,0.175477,0.584738,0.459480,0.00005000
30,0.175914,0.626262,0.493203,0.00002500
31,0.164321,0.608480,0.479572,0.00002500
32,0.158517,0.591030,0.459540,0.00002500
33,0.158066,0.610298,0.478827,0.00002500
34,0.154581,0.590938,0.450790,0.00002500
35,0.157027,0.617638,0.488129,0.00002500
36,0.151529,0.621001,0.489806,0.00001250
37,0.146537,0.617690,0.487839,0.00001250
38,0.144008,0.619503,0.488705,0.00001250
39,0.142968,0.595126,0.466495,0.00001250
40,0.142465,0.610040,0.482819,0.00001250
41,0.140878,0.605615,0.474765,0.00001250
42,0.140731,0.614508,0.484239,0.00000625
43,0.137717,0.610730,0.481215,0.00000625
44,0.136121,0.611556,0.482034,0.00000625
45,0.136504,0.607954,0.477907,0.00000625
46,0.134824,0.609028,0.480295,0.00000625
47,0.134055,0.600578,0.472662,0.00000625
48,0.133606,0.608391,0.480380,0.00000313
49,0.132253,0.599926,0.472449,0.00000313
50,0.131779,0.603788,0.476103,0.00000313
51,0.131040,0.601095,0.473266,0.00000313
52,0.130512,0.604236,0.476664,0.00000313
53,0.130963,0.601029,0.473586,0.00000313
54,0.130090,0.603717,0.475964,0.00000156
55,0.129433,0.607370,0.479080,0.00000156
56,0.129352,0.599064,0.471795,0.00000156
57,0.129289,0.600845,0.473402,0.00000156
58,0.128432,0.599945,0.473102,0.00000156
59,0.128643,0.595497,0.469652,0.00000156
60,0.129059,0.603738,0.476317,0.00000078
61,0.128286,0.602816,0.474998,0.00000078
62,0.128314,0.599913,0.472947,0.00000078
63,0.127309,0.599445,0.472895,0.00000078
64,0.127593,0.599261,0.472695,0.00000078
65,0.127722,0.600141,0.473145,0.00000078
66,0.127605,0.601534,0.473769,0.00000039
67,0.127310,0.602331,0.474997,0.00000039
68,0.127536,0.599767,0.473037,0.00000039
69,0.127311,0.601752,0.473811,0.00000039
70,0.127248,0.599317,0.472653,0.00000039
71,0.127132,0.602263,0.474748,0.00000039
72,0.127136,0.598596,0.472115,0.00000020
73,0.126922,0.602309,0.475421,0.00000020
74,0.127114,0.600580,0.473386,0.00000020
75,0.127410,0.601892,0.475066,0.00000020
76,0.127744,0.600077,0.472709,0.00000020
77,0.126867,0.602853,0.475275,0.00000020
78,0.126909,0.600942,0.473674,0.00000010
79,0.127132,0.600955,0.473782,0.00000010
80,0.127108,0.601186,0.473379,0.00000010
81,0.126917,0.603940,0.475310,0.00000010
82,0.127132,0.599071,0.472497,0.00000010
83,0.126912,0.604491,0.475933,0.00000010
84,0.126582,0.599170,0.472257,0.00000005
85,0.126764,0.603118,0.475761,0.00000005
86,0.126877,0.598933,0.472149,0.00000005
87,0.127109,0.603573,0.474860,0.00000005
88,0.126857,0.600659,0.474109,0.00000005
89,0.127004,0.602982,0.475020,0.00000005
90,0.126684,0.600199,0.473002,0.00000002
91,0.127001,0.598798,0.472127,0.00000002
92,0.126867,0.601670,0.474507,0.00000002
93,0.126413,0.598911,0.471821,0.00000002
94,0.126744,0.600708,0.473876,0.00000002
95,0.127048,0.599823,0.472489,0.00000002
96,0.126962,0.603227,0.475741,0.00000001
97,0.126581,0.602507,0.475023,0.00000001
98,0.126809,0.598944,0.472098,0.00000001
99,0.126516,0.602545,0.474757,0.00000001
100,0.126748,0.603363,0.474921,0.00000001
