epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.281758,0.296175,0.203493,0.00010000
2,1.070162,0.321665,0.212398,0.00010000
3,0.918237,0.255045,0.168708,0.00010000
4,0.717757,0.325458,0.235378,0.00010000
5,0.557266,0.333359,0.240032,0.00010000
6,0.466777,0.364275,0.258403,0.00010000
7,0.416886,0.379221,0.271567,0.00010000
8,0.386322,0.365177,0.263441,0.00010000
9,0.360756,0.381561,0.275327,0.00010000
10,0.326986,0.360233,0.257215,0.00010000
11,0.312186,0.374983,0.274221,0.00010000
12,0.303268,0.332782,0.244630,0.00010000
13,0.290343,0.382515,0.283592,0.00010000
14,0.277198,0.401812,0.292411,0.00010000
15,0.258223,0.400634,0.296250,0.00010000
16,0.246295,0.358154,0.260041,0.00010000
17,0.245330,0.387174,0.282485,0.00010000
18,0.235742,0.404885,0.297397,0.00010000
19,0.227472,0.391189,0.280368,0.00010000
20,0.227537,0.424405,0.309354,0.00010000
21,0.211116,0.371744,0.275611,0.00010000
22,0.221412,0.404932,0.296638,0.00010000
23,0.215197,0.401349,0.295026,0.00010000
24,0.217073,0.411217,0.302020,0.00010000
25,0.204671,0.408146,0.299809,0.00010000
26,0.217605,0.359996,0.267575,0.00005000
27,0.187329,0.410108,0.301240,0.00005000
28,0.174498,0.426068,0.309713,0.00005000
29,0.173524,0.404738,0.298908,0.00005000
30,0.167686,0.439362,0.322102,0.00005000
31,0.165126,0.410129,0.302759,0.00005000
32,0.164409,0.406506,0.301211,0.00005000
33,0.168675,0.423925,0.311769,0.00005000
34,0.161883,0.398309,0.290845,0.00005000
35,0.158320,0.393489,0.291395,0.00005000
36,0.156844,0.384454,0.285342,0.00002500
37,0.147925,0.380983,0.282076,0.00002500
38,0.142959,0.395825,0.291835,0.00002500
39,0.140788,0.421726,0.309453,0.00002500
40,0.139304,0.392397,0.288974,0.00002500
41,0.137703,0.388527,0.284729,0.00002500
42,0.137261,0.381972,0.280738,0.00001250
43,0.131587,0.384420,0.282373,0.00001250
44,0.129091,0.400756,0.293829,0.00001250
45,0.128318,0.398732,0.291719,0.00001250
46,0.126783,0.395820,0.290474,0.00001250
47,0.126305,0.394432,0.288351,0.00001250
48,0.126102,0.392126,0.287312,0.00000625
49,0.122817,0.393690,0.288627,0.00000625
50,0.121634,0.400254,0.293032,0.00000625
51,0.120941,0.396410,0.290063,0.00000625
52,0.120480,0.387759,0.284390,0.00000625
53,0.119471,0.387070,0.283204,0.00000625
54,0.118622,0.385175,0.283160,0.00000313
55,0.116492,0.392076,0.286806,0.00000313
56,0.115147,0.377779,0.277545,0.00000313
57,0.114930,0.378975,0.278767,0.00000313
58,0.114440,0.376274,0.276535,0.00000313
59,0.113862,0.381556,0.279868,0.00000313
60,0.112369,0.391466,0.286799,0.00000156
1,1.183959,0.278343,0.186079,0.00020000,0
2,0.875628,0.324247,0.217821,0.00020000,0
3,0.601763,0.210665,0.149747,0.00020000,0
4,0.507560,0.377294,0.260276,0.00020000,0
5,0.472063,0.374785,0.270671,0.00020000,0
6,0.428583,0.304290,0.216886,0.00020000,0
7,0.397227,0.417531,0.298842,0.00020000,0
8,0.381432,0.411514,0.295496,0.00020000,0
9,0.367332,0.354888,0.254139,0.00020000,0
10,0.349021,0.361210,0.259519,0.00020000,0
11,0.337312,0.341071,0.248502,0.00020000,0
12,0.315889,0.399448,0.291253,0.00020000,0
13,0.306415,0.321342,0.238710,0.00010000,0
14,0.262456,0.360451,0.264060,0.00010000,0
15,0.250193,0.352909,0.260583,0.00010000,0
16,0.238672,0.355829,0.262258,0.00010000,0
17,0.230788,0.357784,0.266265,0.00010000,0
18,0.224108,0.376896,0.281784,0.00010000,0
19,0.220782,0.340588,0.253369,0.00005000,0
20,0.205552,0.368288,0.269573,0.00005000,0
21,0.199442,0.400620,0.294297,0.00005000,0
22,0.193862,0.385876,0.284430,0.00005000,0
23,0.190648,0.384642,0.283369,0.00005000,0
24,0.187192,0.380707,0.279280,0.00005000,0
25,0.184682,0.367239,0.274093,0.00002500,0
26,0.175075,0.371580,0.275081,0.00002500,0
27,0.171634,0.367806,0.272891,0.00002500,0
28,0.167787,0.376263,0.278572,0.00002500,0
29,0.166599,0.377232,0.280339,0.00002500,0
30,0.165209,0.371485,0.274467,0.00002500,0
31,0.163528,0.369702,0.273443,0.00001250,0
32,0.159175,0.357545,0.264620,0.00001250,0
33,0.157345,0.361889,0.267860,0.00001250,0
34,0.155564,0.379911,0.281174,0.00001250,0
35,0.155469,0.376047,0.279939,0.00001250,0
36,0.154102,0.369532,0.273846,0.00001250,0
37,0.153086,0.365792,0.271610,0.00000625,0
38,0.150568,0.372463,0.276227,0.00000625,0
39,0.151007,0.369422,0.273660,0.00000625,0
40,0.149132,0.371805,0.275461,0.00000625,0
41,0.149289,0.364284,0.269601,0.00000625,0
42,0.147878,0.366183,0.271555,0.00000625,0
43,0.147902,0.372444,0.276788,0.00000313,0
44,0.147481,0.368431,0.273453,0.00000313,0
45,0.146897,0.376959,0.279436,0.00000313,0
46,0.146332,0.370227,0.274732,0.00000313,0
47,0.145921,0.367246,0.272784,0.00000313,0
48,0.146157,0.364809,0.271053,0.00000313,0
49,0.145372,0.370247,0.275371,0.00000156,0
50,0.145275,0.372486,0.276966,0.00000156,0
51,0.145044,0.368743,0.274048,0.00000156,0
52,0.144052,0.369759,0.275160,0.00000156,0
53,0.143808,0.371302,0.275626,0.00000156,0
54,0.143929,0.367054,0.272139,0.00000156,0
55,0.143994,0.368454,0.273529,0.00000078,0
56,0.143932,0.369127,0.274181,0.00000078,0
