epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.285829,0.294906,0.203343,0.00010000
2,1.064261,0.420880,0.326689,0.00010000
3,0.911255,0.519278,0.427182,0.00010000
4,0.804791,0.439027,0.345001,0.00010000
5,0.714304,0.480754,0.395375,0.00010000
6,0.663374,0.440021,0.350361,0.00010000
7,0.628020,0.541030,0.461963,0.00010000
8,0.586471,0.434428,0.344228,0.00010000
9,0.568529,0.485452,0.396829,0.00010000
10,0.566070,0.581817,0.495801,0.00010000
11,0.545431,0.561863,0.475644,0.00010000
12,0.538523,0.559251,0.472300,0.00010000
13,0.536450,0.406169,0.316056,0.00010000
14,0.522029,0.570174,0.484183,0.00010000
15,0.508057,0.540029,0.448512,0.00010000
16,0.512158,0.581670,0.495237,0.00005000
17,0.426409,0.462151,0.412108,0.00005000
18,0.357136,0.609598,0.521737,0.00005000
19,0.358403,0.607462,0.515465,0.00005000
20,0.305186,0.624622,0.539371,0.00005000
21,0.312198,0.626751,0.538952,0.00005000
22,0.324942,0.593039,0.501339,0.00005000
23,0.302876,0.621017,0.525505,0.00005000
24,0.279161,0.606396,0.522220,0.00005000
25,0.249061,0.650844,0.566883,0.00005000
26,0.274718,0.636050,0.547562,0.00005000
27,0.272971,0.578016,0.489189,0.00005000
28,0.291026,0.630152,0.541316,0.00005000
29,0.279882,0.652949,0.567535,0.00005000
30,0.268248,0.643347,0.556400,0.00005000
31,0.260001,0.661401,0.578093,0.00005000
32,0.239607,0.664003,0.579032,0.00005000
33,0.244026,0.657536,0.570727,0.00005000
34,0.286069,0.635215,0.548089,0.00005000
35,0.235099,0.624821,0.538195,0.00005000
36,0.253789,0.641735,0.555011,0.00005000
37,0.229261,0.623033,0.534006,0.00005000
38,0.241042,0.624560,0.536856,0.00002500
39,0.218065,0.625387,0.538151,0.00002500
40,0.206100,0.649631,0.563137,0.00002500
41,0.192599,0.621224,0.535917,0.00002500
42,0.195256,0.627904,0.541035,0.00002500
43,0.196677,0.634559,0.548146,0.00002500
44,0.199880,0.628546,0.547616,0.00001250
45,0.187128,0.655823,0.569036,0.00001250
46,0.176312,0.642211,0.555875,0.00001250
47,0.192472,0.640268,0.552507,0.00001250
48,0.184480,0.661120,0.575705,0.00001250
49,0.168106,0.657789,0.571372,0.00001250
50,0.163093,0.659048,0.572891,0.00000625
51,0.161872,0.638461,0.551885,0.00000625
52,0.162584,0.649240,0.562645,0.00000625
53,0.159775,0.637643,0.551012,0.00000625
54,0.158704,0.652971,0.566604,0.00000625
55,0.159126,0.661922,0.577026,0.00000625
56,0.155183,0.661580,0.575995,0.00000313
57,0.155689,0.652110,0.566452,0.00000313
58,0.158270,0.655617,0.569759,0.00000313
59,0.150904,0.651576,0.565453,0.00000313
60,0.150226,0.646703,0.560582,0.00000313
61,0.150671,0.653319,0.567600,0.00000313
62,0.149298,0.649364,0.562916,0.00000156
63,0.151853,0.656204,0.570021,0.00000156
64,0.149443,0.649139,0.563140,0.00000156
65,0.148252,0.648860,0.562888,0.00000156
66,0.147674,0.657962,0.572231,0.00000156
67,0.148562,0.635349,0.548740,0.00000156
68,0.147747,0.652797,0.566689,0.00000078
69,0.146346,0.652466,0.566589,0.00000078
70,0.147380,0.654587,0.568500,0.00000078
71,0.146754,0.640378,0.553756,0.00000078
72,0.146393,0.654212,0.568360,0.00000078
73,0.147035,0.653700,0.567295,0.00000078
74,0.145325,0.653707,0.567358,0.00000039
75,0.145151,0.653961,0.567587,0.00000039
76,0.144273,0.649105,0.562635,0.00000039
77,0.145671,0.648889,0.562438,0.00000039
78,0.143149,0.648921,0.562293,0.00000039
79,0.145154,0.645128,0.558853,0.00000039
80,0.142760,0.654328,0.568180,0.00000020
81,0.143780,0.653553,0.567180,0.00000020
82,0.143750,0.654211,0.567967,0.00000020
83,0.143528,0.648115,0.561663,0.00000020
84,0.145081,0.653332,0.567061,0.00000020
85,0.143328,0.649731,0.563516,0.00000020
86,0.143493,0.640787,0.554108,0.00000010
87,0.144075,0.641830,0.555464,0.00000010
88,0.143806,0.640004,0.553584,0.00000010
89,0.143633,0.648709,0.562294,0.00000010
90,0.143466,0.640544,0.553951,0.00000010
91,0.144938,0.652949,0.566185,0.00000010
92,0.142641,0.650285,0.563686,0.00000005
93,0.143846,0.651602,0.565209,0.00000005
94,0.143316,0.646677,0.560576,0.00000005
95,0.143455,0.641791,0.554850,0.00000005
96,0.143173,0.652484,0.565925,0.00000005
97,0.144325,0.652608,0.566206,0.00000005
98,0.144102,0.641365,0.555011,0.00000002
99,0.143576,0.652466,0.566141,0.00000002
100,0.142870,0.651793,0.565479,0.00000002
