epoch,train_loss,val_mean_dice,val_mean_iou,lr,collapse_guard
1,1.307570,0.194943,0.122564,0.00010000,0
2,1.063601,0.252981,0.173950,0.00010000,0
3,0.893336,0.177054,0.105134,0.00010000,0
4,0.678066,0.257440,0.182030,0.00010000,0
5,0.559493,0.343713,0.242803,0.00010000,0
6,0.500916,0.305100,0.215590,0.00010000,0
7,0.469493,0.321571,0.237327,0.00010000,0
8,0.439249,0.276488,0.200574,0.00010000,0
9,0.426420,0.297964,0.212340,0.00010000,0
10,0.392688,0.329513,0.235892,0.00010000,0
11,0.372692,0.341030,0.245461,0.00005000,0
12,0.329860,0.378909,0.279985,0.00005000,0
13,0.308363,0.324614,0.241277,0.00005000,0
14,0.304511,0.425225,0.309520,0.00005000,0
15,0.292698,0.339490,0.251143,0.00005000,0
16,0.280475,0.368287,0.268386,0.00005000,0
17,0.271218,0.387788,0.276819,0.00005000,0
18,0.268300,0.339648,0.242178,0.00005000,0
19,0.254570,0.384076,0.279038,0.00005000,0
20,0.249685,0.347639,0.259379,0.00002500,0
21,0.228333,0.349185,0.255588,0.00002500,0
22,0.219874,0.344462,0.256106,0.00002500,0
23,0.215847,0.356922,0.261902,0.00002500,0
24,0.212323,0.350291,0.257928,0.00002500,0
25,0.208873,0.333906,0.246902,0.00002500,0
26,0.206031,0.314497,0.231591,0.00001250,0
27,0.197819,0.354728,0.260276,0.00001250,0
28,0.192180,0.357089,0.260915,0.00001250,0
29,0.190516,0.362287,0.265486,0.00001250,0
30,0.187877,0.337519,0.248583,0.00001250,0
31,0.186052,0.333426,0.245163,0.00001250,0
32,0.184551,0.354279,0.258970,0.00000625,0
33,0.180303,0.344668,0.250808,0.00000625,0
34,0.177456,0.341148,0.250804,0.00000625,0
35,0.176189,0.339936,0.249984,0.00000625,0
36,0.175272,0.321567,0.236919,0.00000625,0
37,0.175025,0.340259,0.250348,0.00000625,0
38,0.172801,0.345056,0.253631,0.00000313,0
39,0.171255,0.332654,0.243899,0.00000313,0
40,0.169744,0.329208,0.242905,0.00000313,0
41,0.169535,0.333985,0.244390,0.00000313,0
42,0.168238,0.353326,0.258537,0.00000313,0
43,0.167999,0.345154,0.253319,0.00000313,0
44,0.168211,0.340909,0.250262,0.00000156,0
45,0.166636,0.340727,0.249849,0.00000156,0
