epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.287867,0.617827,0.489585,0.00010000
2,1.183766,0.574876,0.479397,0.00010000
3,1.097799,0.641193,0.523005,0.00010000
4,1.018533,0.631289,0.520025,0.00010000
5,0.937594,0.646884,0.540522,0.00010000
6,0.862155,0.699886,0.595820,0.00010000
7,0.789885,0.692288,0.590882,0.00010000
8,0.719720,0.663596,0.554555,0.00010000
9,0.653830,0.648213,0.551366,0.00010000
10,0.588710,0.704434,0.605003,0.00010000
11,0.516725,0.706141,0.605732,0.00010000
12,0.458587,0.694808,0.593704,0.00010000
13,0.402826,0.693345,0.594408,0.00010000
14,0.342755,0.683521,0.587276,0.00010000
15,0.308311,0.689719,0.594217,0.00010000
16,0.287387,0.700861,0.592571,0.00010000
17,0.260488,0.735484,0.635608,0.00010000
18,0.227087,0.702378,0.603431,0.00010000
19,0.219690,0.660815,0.575969,0.00010000
20,0.206463,0.712423,0.612659,0.00010000
21,0.187198,0.717141,0.610965,0.00010000
22,0.176223,0.702354,0.603184,0.00010000
23,0.166634,0.555555,0.485464,0.00005000
24,0.152541,0.697306,0.603636,0.00005000
25,0.141011,0.676185,0.587289,0.00005000
26,0.143189,0.701710,0.600787,0.00005000
27,0.135974,0.692860,0.600076,0.00005000
28,0.128883,0.712240,0.616180,0.00005000
29,0.125827,0.710289,0.607046,0.00002500
30,0.119353,0.699559,0.602780,0.00002500
31,0.115833,0.677022,0.582448,0.00002500
32,0.113647,0.687231,0.590265,0.00002500
33,0.110538,0.677530,0.580877,0.00002500
34,0.108769,0.693062,0.594557,0.00002500
35,0.106187,0.679361,0.580346,0.00001250
36,0.102538,0.680654,0.582726,0.00001250
37,0.100152,0.690887,0.592954,0.00001250
38,0.098881,0.688961,0.590321,0.00001250
39,0.099024,0.678074,0.580441,0.00001250
40,0.097152,0.682309,0.582862,0.00001250
41,0.094390,0.679569,0.580441,0.00000625
42,0.093182,0.689477,0.587223,0.00000625
43,0.092582,0.682167,0.583121,0.00000625
44,0.091264,0.679577,0.580184,0.00000625
45,0.090478,0.680035,0.581302,0.00000625
46,0.089902,0.674981,0.577409,0.00000625
47,0.089370,0.683461,0.584324,0.00000313
48,0.087985,0.681050,0.582263,0.00000313
49,0.087598,0.680363,0.581682,0.00000313
50,0.087254,0.679521,0.580775,0.00000313
51,0.086804,0.678863,0.579882,0.00000313
52,0.086894,0.672989,0.575104,0.00000313
53,0.086185,0.676995,0.578568,0.00000156
54,0.085628,0.677897,0.579273,0.00000156
55,0.085727,0.672193,0.574299,0.00000156
56,0.085827,0.676276,0.576821,0.00000156
57,0.085616,0.675458,0.576270,0.00000156
58,0.085051,0.674716,0.575931,0.00000156
59,0.085263,0.675232,0.576117,0.00000078
60,0.085270,0.677410,0.577798,0.00000078
61,0.083958,0.673249,0.574145,0.00000078
62,0.084669,0.674002,0.575158,0.00000078
63,0.084893,0.679579,0.579829,0.00000078
64,0.084386,0.672720,0.574720,0.00000078
65,0.084220,0.674718,0.575493,0.00000039
66,0.084013,0.676053,0.576353,0.00000039
67,0.083807,0.680225,0.580940,0.00000039
68,0.083732,0.679424,0.579647,0.00000039
69,0.083848,0.676006,0.576755,0.00000039
70,0.083975,0.677426,0.577981,0.00000039
71,0.084153,0.679692,0.580041,0.00000020
72,0.083629,0.678129,0.578339,0.00000020
73,0.083573,0.678004,0.578342,0.00000020
74,0.083764,0.677096,0.577582,0.00000020
75,0.083995,0.676971,0.577891,0.00000020
76,0.084298,0.677045,0.577906,0.00000020
77,0.083869,0.680603,0.580463,0.00000010
78,0.083616,0.677325,0.577452,0.00000010
79,0.083778,0.671722,0.572625,0.00000010
80,0.083456,0.677602,0.578115,0.00000010
81,0.083726,0.677099,0.577408,0.00000010
82,0.083568,0.674880,0.575603,0.00000010
83,0.083820,0.676686,0.577169,0.00000005
84,0.083672,0.676642,0.577105,0.00000005
85,0.083527,0.678304,0.578568,0.00000005
86,0.083218,0.677276,0.578243,0.00000005
87,0.083490,0.677675,0.578477,0.00000005
88,0.083930,0.676757,0.577132,0.00000005
89,0.083859,0.679787,0.579964,0.00000002
90,0.083880,0.678235,0.577812,0.00000002
91,0.083840,0.676530,0.577321,0.00000002
92,0.083792,0.676311,0.577152,0.00000002
93,0.083423,0.676510,0.577675,0.00000002
94,0.084144,0.676842,0.577116,0.00000002
95,0.083656,0.677005,0.577942,0.00000001
96,0.083401,0.674614,0.575747,0.00000001
97,0.083630,0.676852,0.577410,0.00000001
98,0.083390,0.676387,0.577169,0.00000001
99,0.083519,0.672182,0.573742,0.00000001
100,0.083492,0.675118,0.575720,0.00000001
