epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.360634,0.194099,0.138511,0.00010000
2,1.255982,0.467817,0.336109,0.00010000
3,1.184033,0.571932,0.445534,0.00010000
4,1.125044,0.459877,0.361107,0.00010000
5,1.073628,0.583578,0.461017,0.00010000
6,1.028582,0.487496,0.353910,0.00010000
7,0.980087,0.552109,0.435387,0.00010000
8,0.914669,0.569379,0.446803,0.00010000
9,0.822761,0.579417,0.452034,0.00010000
10,0.718726,0.566361,0.456014,0.00010000
11,0.609295,0.602292,0.497115,0.00010000
12,0.492738,0.627740,0.509344,0.00010000
13,0.401930,0.505209,0.412476,0.00010000
14,0.338623,0.642605,0.535822,0.00010000
15,0.301982,0.627886,0.524258,0.00010000
16,0.272174,0.562896,0.477151,0.00010000
17,0.253281,0.608895,0.491178,0.00010000
18,0.239797,0.631292,0.523464,0.00010000
19,0.215679,0.604239,0.504734,0.00010000
20,0.204852,0.632770,0.520920,0.00005000
21,0.183032,0.621962,0.517136,0.00005000
22,0.176819,0.621540,0.527000,0.00005000
23,0.170004,0.661243,0.554031,0.00005000
24,0.171272,0.617153,0.517868,0.00005000
25,0.159537,0.616373,0.523988,0.00005000
26,0.160194,0.638724,0.528624,0.00005000
27,0.154138,0.580485,0.483416,0.00005000
28,0.145155,0.605160,0.505974,0.00005000
29,0.143026,0.641847,0.535094,0.00002500
30,0.137003,0.633520,0.530331,0.00002500
31,0.130213,0.637715,0.538604,0.00002500
32,0.126047,0.616792,0.521542,0.00002500
33,0.124760,0.611094,0.519448,0.00002500
34,0.122849,0.616356,0.519338,0.00002500
35,0.120786,0.632902,0.527681,0.00001250
36,0.116336,0.620906,0.523627,0.00001250
37,0.114042,0.613955,0.516595,0.00001250
38,0.111718,0.618517,0.522142,0.00001250
39,0.111271,0.621610,0.523782,0.00001250
40,0.109736,0.630678,0.531945,0.00001250
41,0.108765,0.618776,0.523786,0.00000625
42,0.105652,0.605054,0.515544,0.00000625
43,0.104986,0.611677,0.520470,0.00000625
44,0.103736,0.611926,0.519421,0.00000625
45,0.103159,0.609694,0.517078,0.00000625
46,0.101926,0.606899,0.516036,0.00000625
47,0.101212,0.617614,0.521800,0.00000313
48,0.100640,0.618671,0.522623,0.00000313
49,0.099617,0.610431,0.516512,0.00000313
50,0.098689,0.607218,0.514596,0.00000313
51,0.098971,0.608231,0.517042,0.00000313
52,0.098203,0.607275,0.518316,0.00000313
53,0.097675,0.607498,0.516329,0.00000156
