epoch,train_loss,val_mean_dice,val_mean_iou,lr
1,1.339015,0.543903,0.468413,0.00010000
2,1.228183,0.451419,0.360600,0.00010000
3,1.155084,0.513766,0.423235,0.00010000
4,1.087591,0.642959,0.560569,0.00010000
5,1.022043,0.557972,0.473697,0.00010000
6,0.952266,0.548505,0.466992,0.00010000
7,0.893141,0.596735,0.510350,0.00010000
8,0.836620,0.677937,0.605225,0.00010000
9,0.778339,0.634429,0.557145,0.00010000
10,0.729902,0.641005,0.565462,0.00010000
11,0.688221,0.540444,0.458067,0.00010000
12,0.655335,0.471067,0.393773,0.00010000
13,0.625878,0.608274,0.533092,0.00010000
14,0.607330,0.635942,0.550571,0.00005000
15,0.576453,0.658053,0.582799,0.00005000
16,0.560006,0.652429,0.575976,0.00005000
17,0.548333,0.643391,0.565003,0.00005000
18,0.535520,0.658318,0.580830,0.00005000
19,0.526925,0.598655,0.521262,0.00005000
20,0.522415,0.648536,0.569301,0.00002500
21,0.503191,0.635059,0.557876,0.00002500
22,0.494046,0.646928,0.569231,0.00002500
23,0.488325,0.645163,0.567702,0.00002500
24,0.488548,0.602972,0.523052,0.00002500
25,0.477973,0.649810,0.573636,0.00002500
26,0.475652,0.640393,0.564803,0.00001250
27,0.466307,0.627663,0.550750,0.00001250
28,0.464542,0.636931,0.559287,0.00001250
29,0.460686,0.631477,0.554196,0.00001250
30,0.458968,0.624564,0.548229,0.00001250
31,0.456249,0.627315,0.551456,0.00001250
32,0.455431,0.647378,0.570603,0.00000625
33,0.450911,0.647618,0.570990,0.00000625
34,0.450075,0.650190,0.573842,0.00000625
35,0.448369,0.643764,0.567265,0.00000625
36,0.447317,0.652667,0.575473,0.00000625
37,0.445538,0.666785,0.589518,0.00000625
38,0.445386,0.661994,0.584931,0.00000313
39,0.441440,0.664594,0.587140,0.00000313
40,0.440924,0.670010,0.592401,0.00000313
41,0.441392,0.655655,0.578047,0.00000313
42,0.439155,0.669579,0.591687,0.00000313
43,0.439155,0.663057,0.586241,0.00000313
44,0.437813,0.661889,0.585031,0.00000156
45,0.438769,0.661616,0.584487,0.00000156
46,0.435724,0.667384,0.590352,0.00000156
47,0.436889,0.671217,0.593979,0.00000156
48,0.434634,0.671544,0.594302,0.00000156
49,0.437020,0.670040,0.592440,0.00000156
50,0.435588,0.674433,0.596727,0.00000078
51,0.436044,0.660906,0.583501,0.00000078
52,0.435121,0.671995,0.594871,0.00000078
53,0.434113,0.670728,0.593307,0.00000078
54,0.433823,0.665413,0.587961,0.00000078
55,0.432874,0.669579,0.592037,0.00000078
56,0.435155,0.674233,0.596478,0.00000039
57,0.434447,0.671593,0.594510,0.00000039
58,0.433713,0.666163,0.589039,0.00000039
59,0.432602,0.657863,0.581003,0.00000039
60,0.433628,0.670849,0.593486,0.00000039
61,0.432575,0.665250,0.587876,0.00000039
62,0.432644,0.671316,0.594060,0.00000020
63,0.432266,0.668538,0.590792,0.00000020
64,0.433115,0.674731,0.597250,0.00000020
65,0.433686,0.675733,0.598273,0.00000020
66,0.433626,0.673501,0.595766,0.00000020
67,0.432352,0.665071,0.587726,0.00000020
68,0.433638,0.665953,0.588729,0.00000010
69,0.433480,0.674680,0.597259,0.00000010
70,0.433153,0.666214,0.589052,0.00000010
71,0.432822,0.666043,0.588790,0.00000010
72,0.433246,0.666584,0.589457,0.00000010
73,0.433526,0.670527,0.593258,0.00000010
74,0.434807,0.674359,0.596776,0.00000005
75,0.433293,0.675351,0.597908,0.00000005
76,0.434115,0.671163,0.594054,0.00000005
77,0.433594,0.665865,0.588504,0.00000005
78,0.431666,0.674644,0.597087,0.00000005
79,0.432571,0.673701,0.596139,0.00000005
80,0.433344,0.666985,0.589866,0.00000002
81,0.432901,0.674973,0.597512,0.00000002
82,0.433317,0.669564,0.592047,0.00000002
83,0.431470,0.660770,0.583574,0.00000002
84,0.432958,0.669919,0.592334,0.00000002
85,0.435129,0.674361,0.596800,0.00000002
86,0.432813,0.675104,0.597561,0.00000001
87,0.434544,0.674529,0.596875,0.00000001
88,0.433481,0.673443,0.595808,0.00000001
89,0.433281,0.675593,0.598267,0.00000001
90,0.433821,0.674830,0.597229,0.00000001
91,0.431445,0.674710,0.597350,0.00000001
92,0.431783,0.668187,0.590463,0.00000001
93,0.430699,0.673984,0.596424,0.00000001
94,0.432355,0.670408,0.592948,0.00000001
95,0.434097,0.664468,0.586767,0.00000001
96,0.433289,0.674347,0.596842,0.00000001
97,0.431051,0.674159,0.596607,0.00000001
98,0.432693,0.675824,0.598545,0.00000001
99,0.432189,0.675613,0.598422,0.00000001
100,0.433944,0.675073,0.597665,0.00000001
